Activity_ID	Quality	source	CID	SMILES	connectivity	InChIKey	InChI	InChI_AuxInfo	target_id	TID	accession	Protein_Type	AID	doc_id	Year	all_doc_ids	all_years	type_IC50	type_EC50	type_KD	type_Ki	type_other	Activity_class	relation	pchembl_value	pchembl_value_Mean	pchembl_value_StdDev	pchembl_value_SEM	pchembl_value_N	pchembl_value_Median	pchembl_value_MAD
AOJJSUZBOXZQNB_on_Q9NPD5_WT	High	ChEMBL31	ChEMBL31.compound.203	COc1cccc2c1C(=O)c1c(C2=O)c(O)c2CC(O)(C(=O)CO)CC(OC3CC(N)C(O)C(C)O3)c2c1O	AOJJSUZBOXZQNB	AOJJSUZBOXZQNB-UHFFFAOYSA-N	InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3	"""AuxInfo=1/0/N:35,1,5,6,4,29,18,25,23,34,7,17,30,3,26,21,28,8,37,12,11,32,13,15,9,38,19,31,24,22,33,14,16,10,39,20,2,36,27/rA:39COCCCCCCCOCCCOCOCCCOCOCOCCOCCCNCOCCOCCO/rB:s1;s2;d3;s4;d5;s6;s3d7;s8;d9;s9;d11;s7s12;d13;s12;s15;d15;s17;s18;s19;s19;d21;s21;s23;s19;s25;s26;s27;s28;s29;s30;s30;s32;s32;s34;s28s34;s17s26;s11d37;s38;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9NPD5_WT	ChEMBL:CHEMBL1743121;ChEMBL:CHEMBL1743121	Q9NPD5	WT	CHEMBL2169433	PMID:22541068	2012.0	PMID:22541068	2012	0	0	0	1			=	4.42	4.42	0.0	0.0	1.0	4.42	0.0
AXRYRYVKAWYZBR_on_Q9NPD5_WT	High	ChEMBL31	ChEMBL31.compound.42310	COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ncccc2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C	AXRYRYVKAWYZBR	AXRYRYVKAWYZBR-UHFFFAOYSA-N	InChI=1S/C38H52N6O7/c1-37(2,3)31(41-35(48)50-7)33(46)40-29(22-25-14-10-9-11-15-25)30(45)24-44(43-34(47)32(38(4,5)6)42-36(49)51-8)23-26-17-19-27(20-18-26)28-16-12-13-21-39-28/h9-21,29-32,45H,22-24H2,1-8H3,(H,40,46)(H,41,48)(H,42,49)(H,43,47)	"""AuxInfo=1/1/N:49,50,51,45,46,47,1,43,15,14,16,31,30,13,17,32,24,34,25,33,29,11,22,20,12,23,26,27,10,18,6,38,7,36,3,40,48,44,28,9,5,39,35,21,19,8,37,4,41,2,42/E:(1,2,3)(4,5,6)(10,11)(14,15)(17,18)(19,20)/rA:51COCONCCONCCCCCCCCCOCNCCCCCCNCCCCCCNCOCNCOOCCCCCCCCC/rB:s1;s2;d3;s3;s5;s6;d7;s7;s9;s10;s11;d12;s13;d14;s15;s12d16;s10;s18;s18;s20;s21;s22;d23;s24;d25;s26;d27;s28;d29;s30;s27d31;s26;s23d33;s21;s35;d36;s36;s38;s39;d40;s40;s42;s38;s44;s44;s44;s6;s48;s48;s48;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9NPD5_WT	ChEMBL:CHEMBL1743121;ChEMBL:CHEMBL1743121	Q9NPD5	WT	CHEMBL2169433	PMID:22541068	2012.0	PMID:22541068	2012	0	0	0	1			=	6.43	6.43	0.0	0.0	1.0	6.43	0.0
AXUZQJFHDNNPFG_on_Q9NPD5_WT	High	ChEMBL31	ChEMBL31.compound.3406	CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(C=Cc2nc3c(ccc(Cl)c3)cc2)c1	AXUZQJFHDNNPFG	AXUZQJFHDNNPFG-UHFFFAOYSA-N	InChI=1S/C26H27ClN2O3S2/c1-29(2)24(30)12-14-33-26(34-15-13-25(31)32)20-5-3-4-18(16-20)6-10-22-11-8-19-7-9-21(27)17-23(19)28-22/h3-11,16-17,26H,12-15H2,1-2H3,(H,31,32)	"""AuxInfo=1/1/N:1,3,18,19,17,21,27,32,28,22,33,6,12,7,11,34,31,20,26,16,29,23,25,4,13,9,30,24,2,5,14,15,8,10/E:(1,2)(31,32)/rA:34CNCCOCCSCSCCCOOCCCCCCCCNCCCCCClCCCC/rB:s1;s2;s2;d4;s4;s6;s7;s8;s9;s10;s11;s12;d13;s13;s9;d16;s17;d18;s19;s20;w?21;s22;d23;s24;d25;s26;d27;s28;s29;s25d29;s26;s23d32;s16d20;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9NPD5_WT	ChEMBL:CHEMBL1743121;ChEMBL:CHEMBL1743121	Q9NPD5	WT	CHEMBL2169433	PMID:22541068	2012.0	PMID:22541068	2012	0	0	0	1			=	5.23	5.23	0.0	0.0	1.0	5.23	0.0
CGIGDMFJXJATDK_on_Q9NPD5_WT	High	ChEMBL31	ChEMBL31.compound.1686	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	CGIGDMFJXJATDK	CGIGDMFJXJATDK-UHFFFAOYSA-N	InChI=1S/C19H16ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9H,10H2,1-2H3,(H,22,23)	"""AuxInfo=1/1/N:15,1,20,25,21,24,4,5,8,10,14,19,22,3,9,7,6,11,17,23,16,12,13,18,2/E:(3,4)(5,6)(22,23)/rA:25COCCCCCCCCCOOCCNCOCCCCClCC/rB:s1;s2;d3;s4;d5;s6;s3d7;s7;s9;s10;d11;s11;d9;s14;s6s14;s16;d17;s17;d19;s20;d21;s22;s22;s19d24;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9NPD5_WT	ChEMBL:CHEMBL1743121;ChEMBL:CHEMBL1743121	Q9NPD5	WT	CHEMBL2169433	PMID:22541068	2012.0	PMID:22541068	2012	0	0	0	1			=	4.42	4.42	0.0	0.0	1.0	4.42	0.0
JCKYGMPEJWAADB_on_Q9NPD5_WT	High	ChEMBL31	ChEMBL31.compound.168500	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	JCKYGMPEJWAADB	JCKYGMPEJWAADB-UHFFFAOYSA-N	InChI=1S/C14H19Cl2NO2/c15-8-10-17(11-9-16)13-6-4-12(5-7-13)2-1-3-14(18)19/h4-7H,1-3,8-11H2,(H,18,19)	"""AuxInfo=1/1/N:5,6,4,8,19,9,18,13,16,12,15,7,10,2,14,17,11,1,3/E:(4,5)(6,7)(8,9)(10,11)(15,16)(18,19)/rA:19OCOCCCCCCCNCCClCCClCC/rB:d1;s2;s2;s4;s5;s6;d7;s8;d9;s10;s11;s12;s13;s11;s15;s16;s10;s7d18;/rC:;;;;;;;;;;;;;;;;;;;"""	Q9NPD5_WT	ChEMBL:CHEMBL1743121;ChEMBL:CHEMBL1743121	Q9NPD5	WT	CHEMBL3411294	PMID:25618019	2015.0	PMID:25618019	2015	0	0	0	1			=	4.43	4.43	0.0	0.0	1.0	4.43	0.0
KKZJGLLVHKMTCM_on_Q9NPD5_WT	High	ChEMBL31	ChEMBL31.compound.1201	O=C1c2c(C(=O)c3c1c(NCCNCCO)ccc3NCCNCCO)c(O)ccc2O	KKZJGLLVHKMTCM	KKZJGLLVHKMTCM-UHFFFAOYSA-N	InChI=1S/C22H28N4O6/c27-11-9-23-5-7-25-13-1-2-14(26-8-6-24-10-12-28)18-17(13)21(31)19-15(29)3-4-16(30)20(19)22(18)32/h1-4,23-30H,5-12H2	"""AuxInfo=1/0/N:17,18,30,29,12,22,11,21,14,24,15,25,9,19,31,27,8,7,3,4,2,5,13,23,10,20,16,26,32,28,1,6/E:(1,2)(3,4)(5,6)(7,8)(9,10)(11,12)(13,14)(15,16)(17,18)(19,20)(21,22)(23,24)(25,26)(27,28)(29,30)(31,32)/rA:32OCCCCOCCCNCCNCCOCCCNCCNCCOCOCCCO/rB:d1;s2;d3;s4;d5;s5;s2d7;s8;s9;s10;s11;s12;s13;s14;s15;d9;s17;s7d18;s19;s20;s21;s22;s23;s24;s25;s4;s27;d27;s29;s3d30;s31;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9NPD5_WT	ChEMBL:CHEMBL1743121;ChEMBL:CHEMBL1743121	Q9NPD5	WT	CHEMBL3411294	PMID:25618019	2015.0	PMID:25618019	2015	0	0	0	1			=	5.51	5.51	0.0	0.0	1.0	5.51	0.0
NCDNCNXCDXHOMX_on_Q9NPD5_WT	High	ChEMBL31	ChEMBL31.compound.1717	CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1	NCDNCNXCDXHOMX	NCDNCNXCDXHOMX-UHFFFAOYSA-N	InChI=1S/C37H48N6O5S2/c1-24(2)33(42-36(46)43(5)20-29-22-49-35(40-29)25(3)4)34(45)39-28(16-26-12-8-6-9-13-26)18-32(44)31(17-27-14-10-7-11-15-27)41-37(47)48-21-30-19-38-23-50-30/h6-15,19,22-25,28,31-33,44H,16-18,20-21H2,1-5H3,(H,39,45)(H,41,47)(H,42,46)	"""AuxInfo=1/1/N:47,48,1,3,9,22,33,21,23,32,34,20,24,31,35,18,29,25,42,7,40,49,44,46,2,19,30,17,6,41,28,26,13,14,4,10,37,43,16,5,36,12,8,27,15,11,38,39,50,45/E:(1,2)(3,4)(8,9)(10,11)(12,13)(14,15)/rA:50CCCCNCCNCCONCCONCCCCCCCCCCOCCCCCCCCNCOOCCCNCSCCCCS/rB:s1;s2;s2;d4;s5;s6;s7;s8;s8;d10;s10;s12;s13;d14;s14;s16;s17;s18;d19;s20;d21;s22;s19d23;s17;s25;s26;s26;s28;s29;d30;s31;d32;s33;s30d34;s28;s36;d37;s37;s39;s40;d41;s42;d43;s41s44;s13;s46;s46;d6;s4s49;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9NPD5_WT	ChEMBL:CHEMBL1743121;ChEMBL:CHEMBL1743121	Q9NPD5	WT	CHEMBL2169433	PMID:22541068	2012.0	PMID:22541068	2012	0	0	0	1			=	5.4	5.4	0.0	0.0	1.0	5.4	0.0
NCEXYHBECQHGNR_on_Q9NPD5_WT	High	ChEMBL31	ChEMBL31.compound.98782	O=C(O)c1c(O)ccc(N=Nc2ccc(S(=O)(=O)Nc3ncccc3)cc2)c1	NCEXYHBECQHGNR	NCEXYHBECQHGNR-UHFFFAOYSA-N	InChI=1S/C18H14N4O5S/c23-16-9-6-13(11-15(16)18(24)25)21-20-12-4-7-14(8-5-12)28(26,27)22-17-3-1-2-10-19-17/h1-11,23H,(H,19,22)(H,24,25)	"""AuxInfo=1/1/N:24,23,25,13,27,8,14,26,7,22,28,12,9,15,4,5,20,2,21,11,10,19,6,1,3,17,18,16/E:(4,5)(7,8)(24,25)(26,27)/CRV:28.6/rA:28OCOCCOCCCNNCCCCSOONCNCCCCCCC/rB:d1;s2;s2;d4;s5;s5;d7;s8;s9;w?10;s11;d12;s13;d14;s15;d16;d16;s16;s19;d20;s21;d22;s23;s20d24;s15;s12d26;s4d9;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9NPD5_WT	ChEMBL:CHEMBL1743121;ChEMBL:CHEMBL1743121	Q9NPD5	WT	CHEMBL2169433	PMID:22541068	2012.0	PMID:22541068	2012	0	0	0	1			=	4.96	4.96	0.0	0.0	1.0	4.96	0.0
PRDFBSVERLRRMY_on_Q9NPD5_WT	High	ChEMBL31	ChEMBL31.compound.190730	CCOc1ccc(-c2nc3c(ccc(-c4nc5c(ccc(N6CCN(C)CC6)c5)[nH]4)c3)[nH]2)cc1	PRDFBSVERLRRMY	PRDFBSVERLRRMY-UHFFFAOYSA-N	InChI=1S/C27H28N6O/c1-3-34-21-8-4-18(5-9-21)26-28-22-10-6-19(16-24(22)30-26)27-29-23-11-7-20(17-25(23)31-27)33-14-12-32(2)13-15-33/h4-11,16-17H,3,12-15H2,1-2H3,(H,28,30)(H,29,31)	"""AuxInfo=1/1/N:1,26,2,6,33,13,20,5,34,12,19,24,27,23,28,31,29,7,14,21,4,11,18,10,17,8,15,32,30,9,16,25,22,3/E:(4,5)(8,9)(12,13)(14,15)/rA:34CCOCCCCCNCCCCCCNCCCCCNCCNCCCCNCNCC/rB:s1;s2;s3;d4;s5;d6;s7;d8;s9;d10;s11;d12;s13;s14;d15;s16;d17;s18;d19;s20;s21;s22;s23;s24;s25;s25;s22s27;s17d21;s15s18;s10d14;s8s11;s7;s4d33;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9NPD5_WT	ChEMBL:CHEMBL1743121;ChEMBL:CHEMBL1743121	Q9NPD5	WT	CHEMBL2169433	PMID:22541068	2012.0	PMID:22541068	2012	0	0	0	1			=	4.8	4.8	0.0	0.0	1.0	4.8	0.0
TUZYXOIXSAXUGO_on_Q9NPD5_WT	High	ChEMBL31	ChEMBL31.compound.4001	CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21	TUZYXOIXSAXUGO	TUZYXOIXSAXUGO-UHFFFAOYSA-N	InChI=1S/C23H36O7/c1-4-13(2)23(29)30-20-11-17(25)9-15-6-5-14(3)19(22(15)20)8-7-16(24)10-18(26)12-21(27)28/h5-6,9,13-14,16-20,22,24-26H,4,7-8,10-12H2,1-3H3,(H,27,28)	"""AuxInfo=1/1/N:1,4,17,2,15,14,20,19,12,23,9,26,3,16,13,21,10,24,18,8,27,30,5,22,11,25,28,29,6,7/E:(27,28)/rA:30CCCCCOOCCCOCCCCCCCCCCOCCOCCOOC/rB:s1;s2;s3;s3;d5;s5;s7;s8;s9;s10;s10;w?12;s13;w?14;s15;s16;s16;s18;s19;s20;s21;s21;s23;s24;s24;s26;d27;s27;s8s13s18;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9NPD5_WT	ChEMBL:CHEMBL1743121;ChEMBL:CHEMBL1743121	Q9NPD5	WT	CHEMBL2169433	PMID:22541068	2012.0	PMID:22541068	2012	0	0	0	1			=	4.24	4.24	0.0	0.0	1.0	4.24	0.0
