QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1	Fold
Splitting_hERG_Dataset_filtered.tsv_11118	True	1	0.47759	0.52241	0.0
Splitting_hERG_Dataset_filtered.tsv_08460	False	1	0.15152	0.84848	0.0
Splitting_hERG_Dataset_filtered.tsv_09015	True	1	0.31734	0.68266	0.0
Splitting_hERG_Dataset_filtered.tsv_09871	True	1	0.0	1.0	0.0
Splitting_hERG_Dataset_filtered.tsv_01629	False	1	0.44505	0.55495	0.0
Splitting_hERG_Dataset_filtered.tsv_00696	True	1	0.06734	0.93266	0.0
Splitting_hERG_Dataset_filtered.tsv_02929	True	1	0.32066	0.67934	0.0
Splitting_hERG_Dataset_filtered.tsv_00983	True	1	0.03838	0.96162	0.0
Splitting_hERG_Dataset_filtered.tsv_09579	False	1	0.0202	0.9798	0.0
Splitting_hERG_Dataset_filtered.tsv_05648	True	1	0.31818	0.68182	0.0
Splitting_hERG_Dataset_filtered.tsv_05008	True	1	0.28586	0.71414	0.0
Splitting_hERG_Dataset_filtered.tsv_04710	True	0	0.74697	0.25303	0.0
Splitting_hERG_Dataset_filtered.tsv_10344	True	1	0.42997	0.57003	0.0
Splitting_hERG_Dataset_filtered.tsv_09863	True	1	0.18434	0.81566	0.0
Splitting_hERG_Dataset_filtered.tsv_11698	True	1	0.01515	0.98485	0.0
Splitting_hERG_Dataset_filtered.tsv_03871	True	1	0.23846	0.76154	0.0
Splitting_hERG_Dataset_filtered.tsv_10503	True	0	0.8392	0.1608	0.0
Splitting_hERG_Dataset_filtered.tsv_06406	True	0	0.75976	0.24024	0.0
Splitting_hERG_Dataset_filtered.tsv_10898	False	0	0.90488	0.09512	0.0
Splitting_hERG_Dataset_filtered.tsv_10526	True	1	0.44052	0.55948	0.0
Splitting_hERG_Dataset_filtered.tsv_06420	True	1	0.30219	0.69781	0.0
Splitting_hERG_Dataset_filtered.tsv_00314	True	0	0.84897	0.15103	0.0
Splitting_hERG_Dataset_filtered.tsv_08166	True	1	0.47382	0.52618	0.0
Splitting_hERG_Dataset_filtered.tsv_06675	False	1	0.06734	0.93266	0.0
Splitting_hERG_Dataset_filtered.tsv_02983	False	0	0.96678	0.03322	0.0
Splitting_hERG_Dataset_filtered.tsv_00356	False	1	0.18653	0.81347	0.0
Splitting_hERG_Dataset_filtered.tsv_04522	True	1	0.46195	0.53805	0.0
Splitting_hERG_Dataset_filtered.tsv_04318	True	1	0.27606	0.72394	0.0
Splitting_hERG_Dataset_filtered.tsv_06021	False	0	0.76178	0.23822	0.0
Splitting_hERG_Dataset_filtered.tsv_11343	False	0	0.79949	0.20051	0.0
Splitting_hERG_Dataset_filtered.tsv_06080	True	1	0.02694	0.97306	0.0
Splitting_hERG_Dataset_filtered.tsv_09067	False	1	0.42189	0.57811	0.0
Splitting_hERG_Dataset_filtered.tsv_00471	False	1	0.49747	0.50253	0.0
Splitting_hERG_Dataset_filtered.tsv_07705	False	0	0.81801	0.18199	0.0
Splitting_hERG_Dataset_filtered.tsv_09930	False	1	0.17508	0.82492	0.0
Splitting_hERG_Dataset_filtered.tsv_00381	False	0	0.52929	0.47071	0.0
Splitting_hERG_Dataset_filtered.tsv_03430	True	1	0.32499	0.67501	0.0
Splitting_hERG_Dataset_filtered.tsv_02854	False	0	0.85758	0.14242	0.0
Splitting_hERG_Dataset_filtered.tsv_09747	False	0	0.85438	0.14562	0.0
Splitting_hERG_Dataset_filtered.tsv_09630	True	1	0.06061	0.93939	0.0
Splitting_hERG_Dataset_filtered.tsv_06745	False	0	0.9899	0.0101	0.0
Splitting_hERG_Dataset_filtered.tsv_03045	True	0	0.96633	0.03367	0.0
Splitting_hERG_Dataset_filtered.tsv_03864	True	1	0.02525	0.97475	0.0
Splitting_hERG_Dataset_filtered.tsv_10759	False	1	0.47819	0.52181	0.0
Splitting_hERG_Dataset_filtered.tsv_08441	False	1	0.42722	0.57278	0.0
Splitting_hERG_Dataset_filtered.tsv_05752	False	1	0.11616	0.88384	0.0
Splitting_hERG_Dataset_filtered.tsv_00044	False	1	0.46785	0.53215	0.0
Splitting_hERG_Dataset_filtered.tsv_04458	False	0	0.54774	0.45226	0.0
Splitting_hERG_Dataset_filtered.tsv_02510	True	1	0.23822	0.76178	0.0
Splitting_hERG_Dataset_filtered.tsv_08695	True	1	0.37928	0.62072	0.0
Splitting_hERG_Dataset_filtered.tsv_02786	True	1	0.28292	0.71708	0.0
Splitting_hERG_Dataset_filtered.tsv_01444	True	0	0.97222	0.02778	0.0
Splitting_hERG_Dataset_filtered.tsv_09416	False	1	0.49251	0.50749	0.0
Splitting_hERG_Dataset_filtered.tsv_03365	True	1	0.38721	0.61279	0.0
Splitting_hERG_Dataset_filtered.tsv_06555	True	1	0.47492	0.52508	0.0
Splitting_hERG_Dataset_filtered.tsv_03749	False	0	0.88889	0.11111	0.0
Splitting_hERG_Dataset_filtered.tsv_08782	True	1	0.08805	0.91195	0.0
Splitting_hERG_Dataset_filtered.tsv_11319	True	0	0.65714	0.34286	0.0
Splitting_hERG_Dataset_filtered.tsv_02158	True	0	0.89192	0.10808	0.0
Splitting_hERG_Dataset_filtered.tsv_03502	False	1	0.30017	0.69983	0.0
Splitting_hERG_Dataset_filtered.tsv_06550	False	1	0.09108	0.90892	0.0
Splitting_hERG_Dataset_filtered.tsv_10293	False	0	0.91742	0.08258	0.0
Splitting_hERG_Dataset_filtered.tsv_05021	True	1	0.05051	0.94949	0.0
Splitting_hERG_Dataset_filtered.tsv_07907	True	1	0.30051	0.69949	0.0
Splitting_hERG_Dataset_filtered.tsv_09697	True	1	0.16835	0.83165	0.0
Splitting_hERG_Dataset_filtered.tsv_03273	True	1	0.40438	0.59562	0.0
Splitting_hERG_Dataset_filtered.tsv_01796	False	0	0.54899	0.45101	0.0
Splitting_hERG_Dataset_filtered.tsv_08411	True	0	0.77189	0.22811	0.0
Splitting_hERG_Dataset_filtered.tsv_03440	False	0	0.9798	0.0202	0.0
Splitting_hERG_Dataset_filtered.tsv_00852	False	0	0.51431	0.48569	0.0
Splitting_hERG_Dataset_filtered.tsv_00685	False	1	0.25253	0.74747	0.0
Splitting_hERG_Dataset_filtered.tsv_09737	True	1	0.0	1.0	0.0
Splitting_hERG_Dataset_filtered.tsv_08333	True	1	0.0101	0.9899	0.0
Splitting_hERG_Dataset_filtered.tsv_05813	False	1	0.34757	0.65243	0.0
Splitting_hERG_Dataset_filtered.tsv_03471	True	1	0.1271	0.8729	0.0
Splitting_hERG_Dataset_filtered.tsv_02338	False	0	0.99091	0.00909	0.0
Splitting_hERG_Dataset_filtered.tsv_03252	True	1	0.15741	0.84259	0.0
Splitting_hERG_Dataset_filtered.tsv_07354	True	1	0.3823	0.6177	0.0
