QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1
Splitting_hERG_Dataset_filtered.tsv_00000	True	1	0.15861	0.84139
Splitting_hERG_Dataset_filtered.tsv_00001	True	1	0.15861	0.84139
Splitting_hERG_Dataset_filtered.tsv_00006	False	1	0.40513	0.59487
Splitting_hERG_Dataset_filtered.tsv_00013	True	1	0.21734	0.78266
Splitting_hERG_Dataset_filtered.tsv_00014	False	1	0.21734	0.78266
Splitting_hERG_Dataset_filtered.tsv_00015	True	1	0.21734	0.78266
Splitting_hERG_Dataset_filtered.tsv_00016	True	1	0.43468	0.56532
Splitting_hERG_Dataset_filtered.tsv_00017	False	1	0.27441	0.72559
Splitting_hERG_Dataset_filtered.tsv_00018	True	1	0.27441	0.72559
Splitting_hERG_Dataset_filtered.tsv_00019	False	0	0.90101	0.09899
Splitting_hERG_Dataset_filtered.tsv_00020	False	0	0.90101	0.09899
Splitting_hERG_Dataset_filtered.tsv_00021	True	1	0.1165	0.8835
Splitting_hERG_Dataset_filtered.tsv_00022	True	1	0.1165	0.8835
Splitting_hERG_Dataset_filtered.tsv_00023	True	1	0.1165	0.8835
Splitting_hERG_Dataset_filtered.tsv_00025	True	1	0.32828	0.67172
Splitting_hERG_Dataset_filtered.tsv_00028	False	1	0.21738	0.78262
Splitting_hERG_Dataset_filtered.tsv_00029	False	1	0.21738	0.78262
Splitting_hERG_Dataset_filtered.tsv_00038	True	1	0.3404	0.6596
Splitting_hERG_Dataset_filtered.tsv_00039	True	0	0.61116	0.38884
Splitting_hERG_Dataset_filtered.tsv_00040	False	0	0.61116	0.38884
Splitting_hERG_Dataset_filtered.tsv_00041	False	0	0.61116	0.38884
Splitting_hERG_Dataset_filtered.tsv_00049	True	1	0.31145	0.68855
Splitting_hERG_Dataset_filtered.tsv_00050	True	1	0.31145	0.68855
Splitting_hERG_Dataset_filtered.tsv_00051	True	1	0.31145	0.68855
Splitting_hERG_Dataset_filtered.tsv_00052	True	1	0.31145	0.68855
Splitting_hERG_Dataset_filtered.tsv_00053	True	0	0.50012	0.49988
Splitting_hERG_Dataset_filtered.tsv_00057	False	1	0.4865	0.5135
Splitting_hERG_Dataset_filtered.tsv_00058	False	0	0.51364	0.48636
Splitting_hERG_Dataset_filtered.tsv_00059	True	0	0.51364	0.48636
Splitting_hERG_Dataset_filtered.tsv_00062	True	1	0.38897	0.61103
Splitting_hERG_Dataset_filtered.tsv_00072	True	0	0.66619	0.33381
Splitting_hERG_Dataset_filtered.tsv_00073	False	0	0.66619	0.33381
Splitting_hERG_Dataset_filtered.tsv_00074	False	0	0.66619	0.33381
Splitting_hERG_Dataset_filtered.tsv_00091	True	1	0.3427	0.6573
Splitting_hERG_Dataset_filtered.tsv_00092	False	1	0.3427	0.6573
Splitting_hERG_Dataset_filtered.tsv_00093	False	1	0.3427	0.6573
Splitting_hERG_Dataset_filtered.tsv_00094	True	1	0.39815	0.60185
Splitting_hERG_Dataset_filtered.tsv_00095	False	1	0.39815	0.60185
Splitting_hERG_Dataset_filtered.tsv_00096	False	0	0.71128	0.28872
Splitting_hERG_Dataset_filtered.tsv_00100	True	0	0.54259	0.45741
