QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1	Fold
Splitting_hERG_Dataset_filtered.tsv_11118	True	1	0.40541	0.59459	0.0
Splitting_hERG_Dataset_filtered.tsv_08460	False	1	0.36835	0.63165	0.0
Splitting_hERG_Dataset_filtered.tsv_09015	True	1	0.39506	0.60494	0.0
Splitting_hERG_Dataset_filtered.tsv_09871	True	1	0.35608	0.64392	0.0
Splitting_hERG_Dataset_filtered.tsv_01629	False	1	0.41998	0.58002	0.0
Splitting_hERG_Dataset_filtered.tsv_00696	True	1	0.32816	0.67184	0.0
Splitting_hERG_Dataset_filtered.tsv_02929	True	1	0.31459	0.68541	0.0
Splitting_hERG_Dataset_filtered.tsv_00983	True	1	0.13161	0.86839	0.0
Splitting_hERG_Dataset_filtered.tsv_09579	False	1	0.36327	0.63673	0.0
Splitting_hERG_Dataset_filtered.tsv_05648	True	1	0.38456	0.61544	0.0
Splitting_hERG_Dataset_filtered.tsv_05008	True	1	0.37807	0.62193	0.0
Splitting_hERG_Dataset_filtered.tsv_04710	True	1	0.40967	0.59033	0.0
Splitting_hERG_Dataset_filtered.tsv_10344	True	1	0.40552	0.59448	0.0
Splitting_hERG_Dataset_filtered.tsv_09863	True	1	0.35179	0.64821	0.0
Splitting_hERG_Dataset_filtered.tsv_11698	True	1	0.31143	0.68857	0.0
Splitting_hERG_Dataset_filtered.tsv_03871	True	1	0.38802	0.61198	0.0
Splitting_hERG_Dataset_filtered.tsv_10503	True	1	0.39698	0.60302	0.0
Splitting_hERG_Dataset_filtered.tsv_06406	True	1	0.43953	0.56047	0.0
Splitting_hERG_Dataset_filtered.tsv_10898	False	0	0.58314	0.41686	0.0
Splitting_hERG_Dataset_filtered.tsv_10526	True	1	0.40042	0.59958	0.0
Splitting_hERG_Dataset_filtered.tsv_06420	True	1	0.38879	0.61121	0.0
Splitting_hERG_Dataset_filtered.tsv_00314	True	1	0.46369	0.53631	0.0
Splitting_hERG_Dataset_filtered.tsv_08166	True	1	0.45194	0.54806	0.0
Splitting_hERG_Dataset_filtered.tsv_06675	False	1	0.38864	0.61136	0.0
Splitting_hERG_Dataset_filtered.tsv_02983	False	0	0.54224	0.45776	0.0
Splitting_hERG_Dataset_filtered.tsv_00356	False	1	0.33924	0.66076	0.0
Splitting_hERG_Dataset_filtered.tsv_04522	True	1	0.36964	0.63036	0.0
Splitting_hERG_Dataset_filtered.tsv_04318	True	1	0.31891	0.68109	0.0
Splitting_hERG_Dataset_filtered.tsv_06021	False	1	0.43633	0.56367	0.0
Splitting_hERG_Dataset_filtered.tsv_11343	False	1	0.4654	0.5346	0.0
Splitting_hERG_Dataset_filtered.tsv_06080	True	1	0.37164	0.62836	0.0
Splitting_hERG_Dataset_filtered.tsv_09067	False	1	0.39339	0.60661	0.0
Splitting_hERG_Dataset_filtered.tsv_00471	False	1	0.38397	0.61603	0.0
Splitting_hERG_Dataset_filtered.tsv_07705	False	1	0.4312	0.5688	0.0
Splitting_hERG_Dataset_filtered.tsv_09930	False	1	0.36977	0.63023	0.0
Splitting_hERG_Dataset_filtered.tsv_00381	False	1	0.41009	0.58991	0.0
Splitting_hERG_Dataset_filtered.tsv_03430	True	1	0.23892	0.76108	0.0
Splitting_hERG_Dataset_filtered.tsv_02854	False	1	0.44744	0.55256	0.0
Splitting_hERG_Dataset_filtered.tsv_09747	False	1	0.42193	0.57807	0.0
Splitting_hERG_Dataset_filtered.tsv_09630	True	1	0.28884	0.71116	0.0
Splitting_hERG_Dataset_filtered.tsv_06745	False	0	0.6454	0.3546	0.0
Splitting_hERG_Dataset_filtered.tsv_03045	True	0	0.63342	0.36658	0.0
Splitting_hERG_Dataset_filtered.tsv_03864	True	1	0.35351	0.64649	0.0
Splitting_hERG_Dataset_filtered.tsv_10759	False	1	0.46557	0.53443	0.0
Splitting_hERG_Dataset_filtered.tsv_08441	False	1	0.42953	0.57047	0.0
Splitting_hERG_Dataset_filtered.tsv_05752	False	1	0.36595	0.63405	0.0
Splitting_hERG_Dataset_filtered.tsv_00044	False	1	0.38358	0.61642	0.0
Splitting_hERG_Dataset_filtered.tsv_04458	False	0	0.56654	0.43346	0.0
Splitting_hERG_Dataset_filtered.tsv_02510	True	1	0.37198	0.62802	0.0
Splitting_hERG_Dataset_filtered.tsv_08695	True	1	0.30232	0.69768	0.0
Splitting_hERG_Dataset_filtered.tsv_02786	True	1	0.37999	0.62001	0.0
Splitting_hERG_Dataset_filtered.tsv_01444	True	0	0.52277	0.47723	0.0
Splitting_hERG_Dataset_filtered.tsv_09416	False	1	0.45308	0.54692	0.0
Splitting_hERG_Dataset_filtered.tsv_03365	True	1	0.26135	0.73865	0.0
Splitting_hERG_Dataset_filtered.tsv_06555	True	1	0.32766	0.67234	0.0
Splitting_hERG_Dataset_filtered.tsv_03749	False	0	0.54293	0.45707	0.0
Splitting_hERG_Dataset_filtered.tsv_08782	True	1	0.34542	0.65458	0.0
Splitting_hERG_Dataset_filtered.tsv_11319	True	1	0.38048	0.61952	0.0
Splitting_hERG_Dataset_filtered.tsv_02158	True	1	0.4186	0.5814	0.0
Splitting_hERG_Dataset_filtered.tsv_03502	False	1	0.41746	0.58254	0.0
Splitting_hERG_Dataset_filtered.tsv_06550	False	1	0.24419	0.75581	0.0
Splitting_hERG_Dataset_filtered.tsv_10293	False	0	0.68542	0.31458	0.0
