QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1
Splitting_hERG_Dataset_filtered.tsv_00000	True	1	0.34096	0.65904
Splitting_hERG_Dataset_filtered.tsv_00001	True	1	0.34096	0.65904
Splitting_hERG_Dataset_filtered.tsv_00006	False	1	0.39524	0.60476
Splitting_hERG_Dataset_filtered.tsv_00013	True	1	0.37127	0.62873
Splitting_hERG_Dataset_filtered.tsv_00014	False	1	0.37127	0.62873
Splitting_hERG_Dataset_filtered.tsv_00015	True	1	0.37127	0.62873
Splitting_hERG_Dataset_filtered.tsv_00016	True	1	0.40761	0.59239
Splitting_hERG_Dataset_filtered.tsv_00017	False	1	0.36579	0.63421
Splitting_hERG_Dataset_filtered.tsv_00018	True	1	0.36579	0.63421
Splitting_hERG_Dataset_filtered.tsv_00019	False	0	0.62583	0.37417
Splitting_hERG_Dataset_filtered.tsv_00020	False	0	0.62583	0.37417
Splitting_hERG_Dataset_filtered.tsv_00021	True	1	0.35011	0.64989
Splitting_hERG_Dataset_filtered.tsv_00022	True	1	0.35011	0.64989
Splitting_hERG_Dataset_filtered.tsv_00023	True	1	0.35011	0.64989
Splitting_hERG_Dataset_filtered.tsv_00025	True	1	0.37736	0.62264
Splitting_hERG_Dataset_filtered.tsv_00028	False	1	0.37621	0.62379
Splitting_hERG_Dataset_filtered.tsv_00029	False	1	0.37621	0.62379
Splitting_hERG_Dataset_filtered.tsv_00038	True	1	0.37249	0.62751
Splitting_hERG_Dataset_filtered.tsv_00039	True	1	0.47692	0.52308
Splitting_hERG_Dataset_filtered.tsv_00040	False	1	0.47692	0.52308
Splitting_hERG_Dataset_filtered.tsv_00041	False	1	0.47692	0.52308
Splitting_hERG_Dataset_filtered.tsv_00049	True	1	0.39025	0.60975
Splitting_hERG_Dataset_filtered.tsv_00050	True	1	0.39025	0.60975
Splitting_hERG_Dataset_filtered.tsv_00051	True	1	0.39025	0.60975
Splitting_hERG_Dataset_filtered.tsv_00052	True	1	0.39025	0.60975
Splitting_hERG_Dataset_filtered.tsv_00053	True	1	0.44992	0.55008
Splitting_hERG_Dataset_filtered.tsv_00057	False	1	0.39822	0.60178
Splitting_hERG_Dataset_filtered.tsv_00058	False	1	0.42792	0.57208
Splitting_hERG_Dataset_filtered.tsv_00059	True	1	0.42792	0.57208
Splitting_hERG_Dataset_filtered.tsv_00062	True	1	0.40822	0.59178
Splitting_hERG_Dataset_filtered.tsv_00072	True	0	0.52463	0.47537
Splitting_hERG_Dataset_filtered.tsv_00073	False	0	0.52463	0.47537
Splitting_hERG_Dataset_filtered.tsv_00074	False	0	0.52463	0.47537
Splitting_hERG_Dataset_filtered.tsv_00091	True	1	0.38367	0.61633
Splitting_hERG_Dataset_filtered.tsv_00092	False	1	0.38367	0.61633
Splitting_hERG_Dataset_filtered.tsv_00093	False	1	0.38367	0.61633
Splitting_hERG_Dataset_filtered.tsv_00094	True	1	0.35513	0.64487
Splitting_hERG_Dataset_filtered.tsv_00095	False	1	0.35513	0.64487
Splitting_hERG_Dataset_filtered.tsv_00096	False	0	0.5459	0.4541
Splitting_hERG_Dataset_filtered.tsv_00100	True	0	0.5171	0.4829
Splitting_hERG_Dataset_filtered.tsv_00104	True	1	0.42338	0.57662
Splitting_hERG_Dataset_filtered.tsv_00108	False	1	0.37343	0.62657
Splitting_hERG_Dataset_filtered.tsv_00118	True	1	0.42594	0.57406
Splitting_hERG_Dataset_filtered.tsv_00119	False	1	0.42594	0.57406
Splitting_hERG_Dataset_filtered.tsv_00120	False	1	0.42594	0.57406
Splitting_hERG_Dataset_filtered.tsv_00128	False	1	0.40469	0.59531
Splitting_hERG_Dataset_filtered.tsv_00129	True	1	0.40469	0.59531
Splitting_hERG_Dataset_filtered.tsv_00136	True	1	0.38236	0.61764
Splitting_hERG_Dataset_filtered.tsv_00137	False	0	0.77007	0.22993
Splitting_hERG_Dataset_filtered.tsv_00138	False	0	0.77007	0.22993
Splitting_hERG_Dataset_filtered.tsv_00139	False	0	0.77007	0.22993
Splitting_hERG_Dataset_filtered.tsv_00147	True	1	0.37092	0.62908
Splitting_hERG_Dataset_filtered.tsv_00156	False	0	0.51276	0.48724
Splitting_hERG_Dataset_filtered.tsv_00157	False	0	0.51276	0.48724
Splitting_hERG_Dataset_filtered.tsv_00158	True	1	0.39402	0.60598
Splitting_hERG_Dataset_filtered.tsv_00166	True	1	0.41854	0.58146
Splitting_hERG_Dataset_filtered.tsv_00167	False	1	0.41854	0.58146
Splitting_hERG_Dataset_filtered.tsv_00192	False	1	0.41641	0.58359
Splitting_hERG_Dataset_filtered.tsv_00193	False	1	0.37341	0.62659
Splitting_hERG_Dataset_filtered.tsv_00194	False	1	0.37341	0.62659
Splitting_hERG_Dataset_filtered.tsv_00195	False	1	0.37341	0.62659
Splitting_hERG_Dataset_filtered.tsv_00200	False	1	0.40584	0.59416
Splitting_hERG_Dataset_filtered.tsv_00201	False	1	0.41245	0.58755
Splitting_hERG_Dataset_filtered.tsv_00205	False	1	0.49871	0.50129
Splitting_hERG_Dataset_filtered.tsv_00212	False	1	0.49109	0.50891
Splitting_hERG_Dataset_filtered.tsv_00213	True	1	0.49109	0.50891
Splitting_hERG_Dataset_filtered.tsv_00214	True	1	0.49109	0.50891
Splitting_hERG_Dataset_filtered.tsv_00215	True	1	0.49109	0.50891
Splitting_hERG_Dataset_filtered.tsv_00216	False	0	0.58949	0.41051
Splitting_hERG_Dataset_filtered.tsv_00219	True	1	0.34571	0.65429
Splitting_hERG_Dataset_filtered.tsv_00220	True	1	0.43093	0.56907
Splitting_hERG_Dataset_filtered.tsv_00221	False	1	0.43093	0.56907
Splitting_hERG_Dataset_filtered.tsv_00222	False	1	0.43093	0.56907
Splitting_hERG_Dataset_filtered.tsv_00229	True	1	0.40264	0.59736
Splitting_hERG_Dataset_filtered.tsv_00238	True	1	0.49006	0.50994
Splitting_hERG_Dataset_filtered.tsv_00243	True	1	0.3884	0.6116
Splitting_hERG_Dataset_filtered.tsv_00250	True	1	0.40598	0.59402
Splitting_hERG_Dataset_filtered.tsv_00251	False	1	0.40598	0.59402
Splitting_hERG_Dataset_filtered.tsv_00253	True	1	0.3777	0.6223
Splitting_hERG_Dataset_filtered.tsv_00275	False	1	0.39991	0.60009
Splitting_hERG_Dataset_filtered.tsv_00276	False	1	0.36799	0.63201
Splitting_hERG_Dataset_filtered.tsv_00277	False	1	0.36799	0.63201
Splitting_hERG_Dataset_filtered.tsv_00278	True	1	0.36799	0.63201
Splitting_hERG_Dataset_filtered.tsv_00279	False	1	0.38306	0.61694
Splitting_hERG_Dataset_filtered.tsv_00280	True	1	0.38306	0.61694
Splitting_hERG_Dataset_filtered.tsv_00289	True	0	0.54753	0.45247
Splitting_hERG_Dataset_filtered.tsv_00290	True	1	0.42292	0.57708
Splitting_hERG_Dataset_filtered.tsv_00291	True	1	0.42292	0.57708
Splitting_hERG_Dataset_filtered.tsv_00304	False	1	0.44201	0.55799
Splitting_hERG_Dataset_filtered.tsv_00305	True	1	0.38967	0.61033
Splitting_hERG_Dataset_filtered.tsv_00310	True	1	0.39434	0.60566
Splitting_hERG_Dataset_filtered.tsv_00311	True	1	0.39434	0.60566
Splitting_hERG_Dataset_filtered.tsv_00318	True	1	0.37237	0.62763
Splitting_hERG_Dataset_filtered.tsv_00319	False	1	0.37237	0.62763
Splitting_hERG_Dataset_filtered.tsv_00326	False	1	0.43188	0.56812
Splitting_hERG_Dataset_filtered.tsv_00330	True	1	0.46767	0.53233
Splitting_hERG_Dataset_filtered.tsv_00331	False	1	0.40691	0.59309
Splitting_hERG_Dataset_filtered.tsv_00332	True	1	0.4637	0.5363
Splitting_hERG_Dataset_filtered.tsv_00333	True	1	0.41606	0.58394
Splitting_hERG_Dataset_filtered.tsv_00334	False	1	0.41606	0.58394
Splitting_hERG_Dataset_filtered.tsv_00339	False	1	0.41365	0.58635
Splitting_hERG_Dataset_filtered.tsv_00340	False	1	0.41365	0.58635
Splitting_hERG_Dataset_filtered.tsv_00341	False	1	0.41365	0.58635
Splitting_hERG_Dataset_filtered.tsv_00347	False	1	0.47923	0.52077
Splitting_hERG_Dataset_filtered.tsv_00354	True	1	0.38373	0.61627
Splitting_hERG_Dataset_filtered.tsv_00363	False	0	0.53453	0.46547
Splitting_hERG_Dataset_filtered.tsv_00364	False	0	0.53453	0.46547
Splitting_hERG_Dataset_filtered.tsv_00365	False	1	0.44608	0.55392
Splitting_hERG_Dataset_filtered.tsv_00366	False	1	0.44608	0.55392
Splitting_hERG_Dataset_filtered.tsv_00368	True	1	0.42311	0.57689
Splitting_hERG_Dataset_filtered.tsv_00369	True	1	0.42311	0.57689
Splitting_hERG_Dataset_filtered.tsv_00370	True	1	0.46556	0.53444
Splitting_hERG_Dataset_filtered.tsv_00371	False	1	0.46556	0.53444
Splitting_hERG_Dataset_filtered.tsv_00372	False	1	0.46556	0.53444
Splitting_hERG_Dataset_filtered.tsv_00375	True	1	0.39142	0.60858
Splitting_hERG_Dataset_filtered.tsv_00376	False	1	0.39142	0.60858
Splitting_hERG_Dataset_filtered.tsv_00377	True	1	0.45403	0.54597
Splitting_hERG_Dataset_filtered.tsv_00378	False	1	0.46042	0.53958
Splitting_hERG_Dataset_filtered.tsv_00383	True	1	0.39668	0.60332
Splitting_hERG_Dataset_filtered.tsv_00384	True	1	0.39807	0.60193
Splitting_hERG_Dataset_filtered.tsv_00389	True	1	0.40295	0.59705
Splitting_hERG_Dataset_filtered.tsv_00390	False	1	0.40295	0.59705
Splitting_hERG_Dataset_filtered.tsv_00393	True	1	0.35598	0.64402
Splitting_hERG_Dataset_filtered.tsv_00394	True	1	0.35598	0.64402
Splitting_hERG_Dataset_filtered.tsv_00397	False	1	0.41642	0.58358
Splitting_hERG_Dataset_filtered.tsv_00398	True	1	0.41642	0.58358
Splitting_hERG_Dataset_filtered.tsv_00399	False	1	0.41642	0.58358
Splitting_hERG_Dataset_filtered.tsv_00400	False	1	0.41323	0.58677
Splitting_hERG_Dataset_filtered.tsv_00401	False	1	0.42153	0.57847
Splitting_hERG_Dataset_filtered.tsv_00402	False	1	0.42153	0.57847
Splitting_hERG_Dataset_filtered.tsv_00403	True	1	0.42153	0.57847
Splitting_hERG_Dataset_filtered.tsv_00404	True	1	0.4122	0.5878
Splitting_hERG_Dataset_filtered.tsv_00408	True	1	0.38004	0.61996
Splitting_hERG_Dataset_filtered.tsv_00409	True	1	0.38004	0.61996
Splitting_hERG_Dataset_filtered.tsv_00410	True	1	0.41512	0.58488
Splitting_hERG_Dataset_filtered.tsv_00411	False	1	0.41512	0.58488
Splitting_hERG_Dataset_filtered.tsv_00412	True	1	0.41512	0.58488
Splitting_hERG_Dataset_filtered.tsv_00430	True	1	0.36257	0.63743
Splitting_hERG_Dataset_filtered.tsv_00431	True	1	0.4636	0.5364
Splitting_hERG_Dataset_filtered.tsv_00432	True	1	0.42079	0.57921
Splitting_hERG_Dataset_filtered.tsv_00433	False	1	0.39477	0.60523
Splitting_hERG_Dataset_filtered.tsv_00434	True	1	0.38539	0.61461
Splitting_hERG_Dataset_filtered.tsv_00439	True	1	0.39691	0.60309
Splitting_hERG_Dataset_filtered.tsv_00440	True	1	0.33216	0.66784
Splitting_hERG_Dataset_filtered.tsv_00441	True	1	0.33216	0.66784
Splitting_hERG_Dataset_filtered.tsv_00442	True	1	0.33216	0.66784
Splitting_hERG_Dataset_filtered.tsv_00448	False	0	0.67818	0.32182
Splitting_hERG_Dataset_filtered.tsv_00449	False	0	0.67818	0.32182
Splitting_hERG_Dataset_filtered.tsv_00450	False	0	0.67818	0.32182
Splitting_hERG_Dataset_filtered.tsv_00468	True	1	0.40258	0.59742
Splitting_hERG_Dataset_filtered.tsv_00469	False	1	0.44514	0.55486
Splitting_hERG_Dataset_filtered.tsv_00470	True	1	0.44514	0.55486
Splitting_hERG_Dataset_filtered.tsv_00479	True	1	0.40269	0.59731
Splitting_hERG_Dataset_filtered.tsv_00483	True	1	0.44386	0.55614
Splitting_hERG_Dataset_filtered.tsv_00491	False	0	0.61254	0.38746
Splitting_hERG_Dataset_filtered.tsv_00492	True	1	0.38205	0.61795
Splitting_hERG_Dataset_filtered.tsv_00493	False	1	0.40569	0.59431
Splitting_hERG_Dataset_filtered.tsv_00499	True	1	0.39034	0.60966
Splitting_hERG_Dataset_filtered.tsv_00500	True	1	0.39034	0.60966
Splitting_hERG_Dataset_filtered.tsv_00501	True	1	0.39034	0.60966
Splitting_hERG_Dataset_filtered.tsv_00505	False	1	0.49711	0.50289
Splitting_hERG_Dataset_filtered.tsv_00508	False	0	0.52961	0.47039
Splitting_hERG_Dataset_filtered.tsv_00509	False	0	0.52961	0.47039
Splitting_hERG_Dataset_filtered.tsv_00510	False	1	0.46921	0.53079
Splitting_hERG_Dataset_filtered.tsv_00511	True	1	0.3735	0.6265
Splitting_hERG_Dataset_filtered.tsv_00512	True	1	0.3735	0.6265
Splitting_hERG_Dataset_filtered.tsv_00513	True	1	0.3735	0.6265
Splitting_hERG_Dataset_filtered.tsv_00514	True	1	0.36793	0.63207
Splitting_hERG_Dataset_filtered.tsv_00515	False	1	0.37585	0.62415
Splitting_hERG_Dataset_filtered.tsv_00516	True	1	0.37585	0.62415
Splitting_hERG_Dataset_filtered.tsv_00517	False	1	0.37585	0.62415
Splitting_hERG_Dataset_filtered.tsv_00532	True	1	0.35459	0.64541
Splitting_hERG_Dataset_filtered.tsv_00533	True	1	0.35459	0.64541
Splitting_hERG_Dataset_filtered.tsv_00534	False	1	0.45279	0.54721
Splitting_hERG_Dataset_filtered.tsv_00550	False	1	0.38929	0.61071
Splitting_hERG_Dataset_filtered.tsv_00553	False	1	0.40812	0.59188
Splitting_hERG_Dataset_filtered.tsv_00554	True	1	0.40812	0.59188
Splitting_hERG_Dataset_filtered.tsv_00555	False	1	0.43639	0.56361
Splitting_hERG_Dataset_filtered.tsv_00556	True	1	0.40817	0.59183
Splitting_hERG_Dataset_filtered.tsv_00557	False	1	0.40817	0.59183
Splitting_hERG_Dataset_filtered.tsv_00559	True	1	0.42118	0.57882
Splitting_hERG_Dataset_filtered.tsv_00560	True	1	0.41549	0.58451
Splitting_hERG_Dataset_filtered.tsv_00561	True	1	0.41549	0.58451
Splitting_hERG_Dataset_filtered.tsv_00570	False	1	0.4021	0.5979
Splitting_hERG_Dataset_filtered.tsv_00571	False	1	0.4021	0.5979
Splitting_hERG_Dataset_filtered.tsv_00574	False	0	0.54341	0.45659
Splitting_hERG_Dataset_filtered.tsv_00576	True	1	0.39952	0.60048
Splitting_hERG_Dataset_filtered.tsv_00577	True	1	0.42497	0.57503
Splitting_hERG_Dataset_filtered.tsv_00578	True	1	0.42497	0.57503
Splitting_hERG_Dataset_filtered.tsv_00583	True	1	0.41271	0.58729
Splitting_hERG_Dataset_filtered.tsv_00584	True	1	0.41271	0.58729
Splitting_hERG_Dataset_filtered.tsv_00585	True	1	0.41271	0.58729
Splitting_hERG_Dataset_filtered.tsv_00588	False	0	0.5631	0.4369
Splitting_hERG_Dataset_filtered.tsv_00589	True	1	0.49418	0.50582
Splitting_hERG_Dataset_filtered.tsv_00590	True	1	0.49418	0.50582
Splitting_hERG_Dataset_filtered.tsv_00591	True	1	0.49418	0.50582
Splitting_hERG_Dataset_filtered.tsv_00592	True	1	0.49418	0.50582
Splitting_hERG_Dataset_filtered.tsv_00597	True	1	0.46244	0.53756
Splitting_hERG_Dataset_filtered.tsv_00606	False	1	0.40552	0.59448
Splitting_hERG_Dataset_filtered.tsv_00607	False	1	0.40552	0.59448
Splitting_hERG_Dataset_filtered.tsv_00608	False	1	0.42567	0.57433
Splitting_hERG_Dataset_filtered.tsv_00609	True	1	0.37843	0.62157
Splitting_hERG_Dataset_filtered.tsv_00610	False	1	0.37843	0.62157
Splitting_hERG_Dataset_filtered.tsv_00612	True	1	0.38305	0.61695
Splitting_hERG_Dataset_filtered.tsv_00614	True	1	0.3999	0.6001
Splitting_hERG_Dataset_filtered.tsv_00615	True	1	0.3999	0.6001
Splitting_hERG_Dataset_filtered.tsv_00620	False	1	0.41902	0.58098
Splitting_hERG_Dataset_filtered.tsv_00632	False	1	0.35993	0.64007
Splitting_hERG_Dataset_filtered.tsv_00633	False	1	0.35993	0.64007
Splitting_hERG_Dataset_filtered.tsv_00639	True	1	0.37202	0.62798
Splitting_hERG_Dataset_filtered.tsv_00640	False	1	0.37202	0.62798
Splitting_hERG_Dataset_filtered.tsv_00643	True	1	0.38379	0.61621
Splitting_hERG_Dataset_filtered.tsv_00651	True	1	0.40213	0.59787
Splitting_hERG_Dataset_filtered.tsv_00652	True	1	0.40213	0.59787
Splitting_hERG_Dataset_filtered.tsv_00653	True	1	0.40213	0.59787
Splitting_hERG_Dataset_filtered.tsv_00657	True	0	0.63674	0.36326
Splitting_hERG_Dataset_filtered.tsv_00658	False	0	0.63674	0.36326
Splitting_hERG_Dataset_filtered.tsv_00659	True	1	0.41205	0.58795
Splitting_hERG_Dataset_filtered.tsv_00660	False	1	0.41205	0.58795
Splitting_hERG_Dataset_filtered.tsv_00661	True	1	0.41205	0.58795
Splitting_hERG_Dataset_filtered.tsv_00662	True	1	0.41282	0.58718
Splitting_hERG_Dataset_filtered.tsv_00672	True	1	0.41053	0.58947
Splitting_hERG_Dataset_filtered.tsv_00673	False	1	0.41053	0.58947
Splitting_hERG_Dataset_filtered.tsv_00674	True	1	0.47054	0.52946
Splitting_hERG_Dataset_filtered.tsv_00677	True	1	0.3899	0.6101
Splitting_hERG_Dataset_filtered.tsv_00681	True	0	0.5115	0.4885
Splitting_hERG_Dataset_filtered.tsv_00682	True	0	0.5115	0.4885
Splitting_hERG_Dataset_filtered.tsv_00683	False	0	0.5115	0.4885
Splitting_hERG_Dataset_filtered.tsv_00691	True	0	0.64586	0.35414
Splitting_hERG_Dataset_filtered.tsv_00692	False	0	0.64586	0.35414
Splitting_hERG_Dataset_filtered.tsv_00693	False	0	0.64586	0.35414
Splitting_hERG_Dataset_filtered.tsv_00697	False	0	0.50664	0.49336
Splitting_hERG_Dataset_filtered.tsv_00698	True	1	0.39817	0.60183
Splitting_hERG_Dataset_filtered.tsv_00699	True	1	0.39817	0.60183
Splitting_hERG_Dataset_filtered.tsv_00700	True	1	0.39817	0.60183
Splitting_hERG_Dataset_filtered.tsv_00701	False	1	0.39817	0.60183
Splitting_hERG_Dataset_filtered.tsv_00717	True	1	0.39818	0.60182
Splitting_hERG_Dataset_filtered.tsv_00724	True	1	0.37312	0.62688
Splitting_hERG_Dataset_filtered.tsv_00729	True	1	0.48054	0.51946
Splitting_hERG_Dataset_filtered.tsv_00730	False	1	0.48054	0.51946
Splitting_hERG_Dataset_filtered.tsv_00731	False	1	0.39729	0.60271
Splitting_hERG_Dataset_filtered.tsv_00732	True	1	0.39729	0.60271
Splitting_hERG_Dataset_filtered.tsv_00733	True	1	0.39729	0.60271
Splitting_hERG_Dataset_filtered.tsv_00734	True	1	0.39729	0.60271
Splitting_hERG_Dataset_filtered.tsv_00740	True	1	0.39176	0.60824
Splitting_hERG_Dataset_filtered.tsv_00741	False	1	0.39176	0.60824
Splitting_hERG_Dataset_filtered.tsv_00757	False	1	0.40245	0.59755
Splitting_hERG_Dataset_filtered.tsv_00758	True	0	0.54592	0.45408
Splitting_hERG_Dataset_filtered.tsv_00759	True	1	0.41956	0.58044
Splitting_hERG_Dataset_filtered.tsv_00762	False	1	0.35017	0.64983
Splitting_hERG_Dataset_filtered.tsv_00763	True	1	0.35017	0.64983
Splitting_hERG_Dataset_filtered.tsv_00764	True	1	0.35017	0.64983
Splitting_hERG_Dataset_filtered.tsv_00782	False	1	0.44193	0.55807
Splitting_hERG_Dataset_filtered.tsv_00783	True	1	0.44193	0.55807
Splitting_hERG_Dataset_filtered.tsv_00784	False	1	0.41573	0.58427
Splitting_hERG_Dataset_filtered.tsv_00785	False	1	0.41573	0.58427
Splitting_hERG_Dataset_filtered.tsv_00786	False	1	0.41573	0.58427
Splitting_hERG_Dataset_filtered.tsv_00788	True	1	0.38415	0.61585
Splitting_hERG_Dataset_filtered.tsv_00789	True	1	0.38415	0.61585
Splitting_hERG_Dataset_filtered.tsv_00790	True	1	0.39361	0.60639
Splitting_hERG_Dataset_filtered.tsv_00791	False	1	0.39361	0.60639
Splitting_hERG_Dataset_filtered.tsv_00792	False	1	0.39361	0.60639
Splitting_hERG_Dataset_filtered.tsv_00807	True	0	0.59977	0.40023
Splitting_hERG_Dataset_filtered.tsv_00808	False	1	0.42401	0.57599
Splitting_hERG_Dataset_filtered.tsv_00809	False	1	0.42401	0.57599
Splitting_hERG_Dataset_filtered.tsv_00810	False	1	0.46072	0.53928
Splitting_hERG_Dataset_filtered.tsv_00821	False	1	0.42864	0.57136
Splitting_hERG_Dataset_filtered.tsv_00822	True	1	0.36384	0.63616
Splitting_hERG_Dataset_filtered.tsv_00823	True	1	0.36384	0.63616
Splitting_hERG_Dataset_filtered.tsv_00824	True	1	0.36384	0.63616
Splitting_hERG_Dataset_filtered.tsv_00825	False	1	0.48768	0.51232
Splitting_hERG_Dataset_filtered.tsv_00826	True	1	0.48768	0.51232
