QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1	Fold
SplittinghERG_F_Dataset_00002	False	1	0.44019	0.55981	0.0
SplittinghERG_F_Dataset_00003	False	1	0.03533	0.96467	0.0
SplittinghERG_F_Dataset_00004	True	1	0.15607	0.84393	0.0
SplittinghERG_F_Dataset_00005	True	1	0.15607	0.84393	0.0
SplittinghERG_F_Dataset_00007	True	1	0.02311	0.97689	0.0
SplittinghERG_F_Dataset_00008	False	1	0.02311	0.97689	0.0
SplittinghERG_F_Dataset_00009	True	1	0.15537	0.84463	0.0
SplittinghERG_F_Dataset_00010	False	1	0.18188	0.81812	0.0
SplittinghERG_F_Dataset_00011	False	1	0.18188	0.81812	0.0
SplittinghERG_F_Dataset_00012	True	1	0.30506	0.69494	0.0
SplittinghERG_F_Dataset_00024	True	1	0.01536	0.98464	0.0
SplittinghERG_F_Dataset_00026	False	1	0.42141	0.57859	0.0
SplittinghERG_F_Dataset_00027	False	1	0.42141	0.57859	0.0
SplittinghERG_F_Dataset_00030	True	1	0.15073	0.84927	0.0
SplittinghERG_F_Dataset_00031	False	1	0.15073	0.84927	0.0
SplittinghERG_F_Dataset_00032	True	1	0.02135	0.97865	0.0
SplittinghERG_F_Dataset_00033	False	1	0.02135	0.97865	0.0
SplittinghERG_F_Dataset_00034	False	1	0.02135	0.97865	0.0
SplittinghERG_F_Dataset_00035	True	1	0.02135	0.97865	0.0
SplittinghERG_F_Dataset_00036	True	1	0.25918	0.74082	0.0
SplittinghERG_F_Dataset_00037	False	1	0.25918	0.74082	0.0
SplittinghERG_F_Dataset_00042	True	1	0.35347	0.64653	0.0
SplittinghERG_F_Dataset_00043	False	1	0.35347	0.64653	0.0
SplittinghERG_F_Dataset_00044	False	1	0.35347	0.64653	0.0
SplittinghERG_F_Dataset_00045	True	0	0.91729	0.08271	0.0
SplittinghERG_F_Dataset_00046	True	0	0.91729	0.08271	0.0
SplittinghERG_F_Dataset_00047	True	0	0.91729	0.08271	0.0
SplittinghERG_F_Dataset_00048	False	1	0.24564	0.75436	0.0
SplittinghERG_F_Dataset_00054	True	1	0.09408	0.90592	0.0
SplittinghERG_F_Dataset_00055	True	1	0.09408	0.90592	0.0
SplittinghERG_F_Dataset_00056	True	1	0.09408	0.90592	0.0
SplittinghERG_F_Dataset_00060	False	1	0.26019	0.73981	0.0
SplittinghERG_F_Dataset_00061	False	1	0.26019	0.73981	0.0
SplittinghERG_F_Dataset_00063	False	1	0.31626	0.68374	0.0
SplittinghERG_F_Dataset_00064	True	1	0.31626	0.68374	0.0
SplittinghERG_F_Dataset_00065	True	1	0.09928	0.90072	0.0
SplittinghERG_F_Dataset_00066	False	1	0.09928	0.90072	0.0
SplittinghERG_F_Dataset_00067	False	1	0.09928	0.90072	0.0
SplittinghERG_F_Dataset_00068	True	1	0.08963	0.91037	0.0
SplittinghERG_F_Dataset_00069	True	1	0.08963	0.91037	0.0
SplittinghERG_F_Dataset_00070	True	1	0.08963	0.91037	0.0
SplittinghERG_F_Dataset_00071	True	1	0.08963	0.91037	0.0
SplittinghERG_F_Dataset_00075	True	0	0.84104	0.15896	0.0
SplittinghERG_F_Dataset_00076	True	0	0.84104	0.15896	0.0
SplittinghERG_F_Dataset_00077	True	1	0.27447	0.72553	0.0
SplittinghERG_F_Dataset_00078	False	1	0.27447	0.72553	0.0
SplittinghERG_F_Dataset_00079	False	0	0.67681	0.32319	0.0
SplittinghERG_F_Dataset_00080	False	1	0.419	0.581	0.0
SplittinghERG_F_Dataset_00081	False	1	0.419	0.581	0.0
SplittinghERG_F_Dataset_00082	False	1	0.419	0.581	0.0
SplittinghERG_F_Dataset_00083	True	1	0.29942	0.70058	0.0
SplittinghERG_F_Dataset_00084	True	1	0.12339	0.87661	0.0
SplittinghERG_F_Dataset_00085	False	1	0.12339	0.87661	0.0
SplittinghERG_F_Dataset_00086	False	1	0.16429	0.83571	0.0
SplittinghERG_F_Dataset_00087	True	1	0.16429	0.83571	0.0
SplittinghERG_F_Dataset_00088	True	0	0.78346	0.21654	0.0
SplittinghERG_F_Dataset_00089	False	0	0.78346	0.21654	0.0
SplittinghERG_F_Dataset_00090	True	0	0.78346	0.21654	0.0
SplittinghERG_F_Dataset_00097	False	0	0.56556	0.43444	0.0
SplittinghERG_F_Dataset_00098	False	0	0.56556	0.43444	0.0
SplittinghERG_F_Dataset_00099	True	0	0.56556	0.43444	0.0
SplittinghERG_F_Dataset_00101	True	1	0.24084	0.75916	0.0
SplittinghERG_F_Dataset_00102	True	0	0.84182	0.15818	0.0
SplittinghERG_F_Dataset_00103	True	0	0.84182	0.15818	0.0
SplittinghERG_F_Dataset_00105	False	0	0.9524	0.04761	0.0
SplittinghERG_F_Dataset_00106	True	0	0.9524	0.04761	0.0
SplittinghERG_F_Dataset_00107	False	0	0.9524	0.04761	0.0
SplittinghERG_F_Dataset_00109	False	1	0.27532	0.72468	0.0
SplittinghERG_F_Dataset_00110	False	1	0.27532	0.72468	0.0
SplittinghERG_F_Dataset_00111	False	1	0.27532	0.72468	0.0
SplittinghERG_F_Dataset_00112	True	0	0.51405	0.48595	0.0
SplittinghERG_F_Dataset_00113	True	0	0.51405	0.48595	0.0
SplittinghERG_F_Dataset_00114	False	0	0.51405	0.48595	0.0
SplittinghERG_F_Dataset_00115	False	1	0.33676	0.66324	0.0
SplittinghERG_F_Dataset_00116	True	1	0.33676	0.66324	0.0
SplittinghERG_F_Dataset_00117	True	1	0.33676	0.66324	0.0
SplittinghERG_F_Dataset_00121	False	1	0.43549	0.56451	0.0
SplittinghERG_F_Dataset_00122	True	1	0.10274	0.89726	0.0
SplittinghERG_F_Dataset_00123	False	1	0.10274	0.89726	0.0
SplittinghERG_F_Dataset_00124	True	1	0.10274	0.89726	0.0
SplittinghERG_F_Dataset_00125	True	0	0.72175	0.27825	0.0
SplittinghERG_F_Dataset_00126	False	0	0.54019	0.45981	0.0
SplittinghERG_F_Dataset_00127	False	0	0.54019	0.45981	0.0
SplittinghERG_F_Dataset_00130	True	1	0.16127	0.83873	0.0
SplittinghERG_F_Dataset_00131	True	0	0.53135	0.46865	0.0
SplittinghERG_F_Dataset_00132	False	0	0.53135	0.46865	0.0
SplittinghERG_F_Dataset_00133	True	1	0.18412	0.81588	0.0
SplittinghERG_F_Dataset_00134	True	0	0.75242	0.24758	0.0
SplittinghERG_F_Dataset_00135	True	0	0.75242	0.24758	0.0
SplittinghERG_F_Dataset_00140	True	1	0.17851	0.82149	0.0
SplittinghERG_F_Dataset_00141	False	1	0.17851	0.82149	0.0
SplittinghERG_F_Dataset_00142	True	0	0.98333	0.01667	0.0
SplittinghERG_F_Dataset_00143	True	0	0.62531	0.37469	0.0
SplittinghERG_F_Dataset_00144	True	1	0.28548	0.71452	0.0
SplittinghERG_F_Dataset_00145	True	0	0.76742	0.23258	0.0
SplittinghERG_F_Dataset_00146	False	1	0.22838	0.77162	0.0
SplittinghERG_F_Dataset_00148	False	1	0.23308	0.76692	0.0
SplittinghERG_F_Dataset_00149	False	1	0.23308	0.76692	0.0
SplittinghERG_F_Dataset_00150	False	1	0.23308	0.76692	0.0
SplittinghERG_F_Dataset_00151	True	1	0.07391	0.92609	0.0
SplittinghERG_F_Dataset_00152	False	1	0.07391	0.92609	0.0
SplittinghERG_F_Dataset_00153	False	1	0.07391	0.92609	0.0
SplittinghERG_F_Dataset_00154	True	0	0.55306	0.44694	0.0
SplittinghERG_F_Dataset_00155	False	0	0.55306	0.44694	0.0
SplittinghERG_F_Dataset_00159	True	1	0.32911	0.67089	0.0
