QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1
SplittinghERG_F_Dataset_00000	True	1	0.15869	0.84131
SplittinghERG_F_Dataset_00001	True	1	0.15869	0.84131
SplittinghERG_F_Dataset_00006	False	1	0.43392	0.56608
SplittinghERG_F_Dataset_00013	True	1	0.19328	0.80672
SplittinghERG_F_Dataset_00014	False	1	0.19328	0.80672
SplittinghERG_F_Dataset_00015	True	1	0.19328	0.80672
SplittinghERG_F_Dataset_00016	True	1	0.34847	0.65153
SplittinghERG_F_Dataset_00017	False	1	0.19609	0.80391
SplittinghERG_F_Dataset_00018	True	1	0.19609	0.80391
SplittinghERG_F_Dataset_00019	False	0	0.89818	0.10182
SplittinghERG_F_Dataset_00020	False	0	0.89818	0.10182
SplittinghERG_F_Dataset_00021	True	1	0.09176	0.90824
SplittinghERG_F_Dataset_00022	True	1	0.09176	0.90824
SplittinghERG_F_Dataset_00023	True	1	0.09176	0.90824
SplittinghERG_F_Dataset_00025	True	1	0.3136	0.6864
SplittinghERG_F_Dataset_00028	False	1	0.16045	0.83955
SplittinghERG_F_Dataset_00029	False	1	0.16045	0.83955
SplittinghERG_F_Dataset_00038	True	1	0.27104	0.72896
SplittinghERG_F_Dataset_00039	True	0	0.6618	0.3382
SplittinghERG_F_Dataset_00040	False	0	0.6618	0.3382
SplittinghERG_F_Dataset_00041	False	0	0.6618	0.3382
SplittinghERG_F_Dataset_00049	True	1	0.45066	0.54934
SplittinghERG_F_Dataset_00050	True	1	0.45066	0.54934
SplittinghERG_F_Dataset_00051	True	1	0.45066	0.54934
SplittinghERG_F_Dataset_00052	True	1	0.45066	0.54934
SplittinghERG_F_Dataset_00053	True	0	0.50955	0.49045
SplittinghERG_F_Dataset_00057	False	1	0.22766	0.77234
SplittinghERG_F_Dataset_00058	False	0	0.61472	0.38528
SplittinghERG_F_Dataset_00059	True	0	0.61472	0.38528
SplittinghERG_F_Dataset_00062	True	0	0.64532	0.35468
SplittinghERG_F_Dataset_00072	True	0	0.54792	0.45208
SplittinghERG_F_Dataset_00073	False	0	0.54792	0.45208
SplittinghERG_F_Dataset_00074	False	0	0.54792	0.45208
SplittinghERG_F_Dataset_00091	True	1	0.32583	0.67417
SplittinghERG_F_Dataset_00092	False	1	0.32583	0.67417
SplittinghERG_F_Dataset_00093	False	1	0.32583	0.67417
SplittinghERG_F_Dataset_00094	True	1	0.29705	0.70295
SplittinghERG_F_Dataset_00095	False	1	0.29705	0.70295
SplittinghERG_F_Dataset_00096	False	0	0.73193	0.26807
SplittinghERG_F_Dataset_00100	True	0	0.84423	0.15577
SplittinghERG_F_Dataset_00104	True	0	0.5637	0.4363
SplittinghERG_F_Dataset_00108	False	1	0.28801	0.71199
SplittinghERG_F_Dataset_00118	True	1	0.34331	0.65669
SplittinghERG_F_Dataset_00119	False	1	0.34331	0.65669
SplittinghERG_F_Dataset_00120	False	1	0.34331	0.65669
SplittinghERG_F_Dataset_00128	False	1	0.32165	0.67835
SplittinghERG_F_Dataset_00129	True	1	0.32165	0.67835
SplittinghERG_F_Dataset_00136	True	1	0.3002	0.6998
SplittinghERG_F_Dataset_00137	False	0	0.87144	0.12856
SplittinghERG_F_Dataset_00138	False	0	0.87144	0.12856
SplittinghERG_F_Dataset_00139	False	0	0.87144	0.12856
SplittinghERG_F_Dataset_00147	True	1	0.25282	0.74718
SplittinghERG_F_Dataset_00156	False	0	0.81258	0.18742
SplittinghERG_F_Dataset_00157	False	0	0.81258	0.18742
SplittinghERG_F_Dataset_00158	True	1	0.2658	0.7342
SplittinghERG_F_Dataset_00166	True	1	0.17479	0.82521
SplittinghERG_F_Dataset_00167	False	1	0.17479	0.82521
SplittinghERG_F_Dataset_00192	False	1	0.39078	0.60922
SplittinghERG_F_Dataset_00193	False	1	0.22135	0.77865
SplittinghERG_F_Dataset_00194	False	1	0.22135	0.77865
SplittinghERG_F_Dataset_00195	False	1	0.22135	0.77865
SplittinghERG_F_Dataset_00200	False	1	0.45978	0.54022
SplittinghERG_F_Dataset_00201	False	0	0.51756	0.48244
SplittinghERG_F_Dataset_00205	False	0	0.6436	0.3564
SplittinghERG_F_Dataset_00212	False	0	0.63237	0.36763
SplittinghERG_F_Dataset_00213	True	0	0.63237	0.36763
SplittinghERG_F_Dataset_00214	True	0	0.63237	0.36763
SplittinghERG_F_Dataset_00215	True	0	0.63237	0.36763
SplittinghERG_F_Dataset_00216	False	0	0.92463	0.07537
SplittinghERG_F_Dataset_00219	True	1	0.37313	0.62687
SplittinghERG_F_Dataset_00220	True	1	0.30988	0.69012
SplittinghERG_F_Dataset_00221	False	1	0.30988	0.69012
SplittinghERG_F_Dataset_00222	False	1	0.30988	0.69012
SplittinghERG_F_Dataset_00229	True	1	0.33829	0.66171
SplittinghERG_F_Dataset_00238	True	0	0.75676	0.24324
SplittinghERG_F_Dataset_00243	True	1	0.20731	0.79269
SplittinghERG_F_Dataset_00250	True	1	0.35042	0.64958
SplittinghERG_F_Dataset_00251	False	1	0.35042	0.64958
SplittinghERG_F_Dataset_00253	True	1	0.35559	0.64441
SplittinghERG_F_Dataset_00275	False	0	0.54765	0.45235
SplittinghERG_F_Dataset_00276	False	1	0.29541	0.70459
SplittinghERG_F_Dataset_00277	False	1	0.29541	0.70459
SplittinghERG_F_Dataset_00278	True	1	0.29541	0.70459
SplittinghERG_F_Dataset_00279	False	1	0.43054	0.56946
SplittinghERG_F_Dataset_00280	True	1	0.43054	0.56946
SplittinghERG_F_Dataset_00289	True	0	0.63823	0.36177
SplittinghERG_F_Dataset_00290	True	0	0.65367	0.34633
SplittinghERG_F_Dataset_00291	True	0	0.65367	0.34633
SplittinghERG_F_Dataset_00304	False	0	0.80738	0.19262
SplittinghERG_F_Dataset_00305	True	0	0.60485	0.39515
SplittinghERG_F_Dataset_00310	True	0	0.55386	0.44614
SplittinghERG_F_Dataset_00311	True	0	0.55386	0.44614
SplittinghERG_F_Dataset_00318	True	1	0.34219	0.65781
SplittinghERG_F_Dataset_00319	False	1	0.34219	0.65781
SplittinghERG_F_Dataset_00326	False	0	0.60629	0.39371
SplittinghERG_F_Dataset_00330	True	0	0.59287	0.40713
SplittinghERG_F_Dataset_00331	False	1	0.42591	0.57409
SplittinghERG_F_Dataset_00332	True	0	0.76017	0.23983
SplittinghERG_F_Dataset_00333	True	0	0.64593	0.35407
SplittinghERG_F_Dataset_00334	False	0	0.64593	0.35407
SplittinghERG_F_Dataset_00339	False	1	0.48294	0.51706
SplittinghERG_F_Dataset_00340	False	1	0.48294	0.51706
SplittinghERG_F_Dataset_00341	False	1	0.48294	0.51706
SplittinghERG_F_Dataset_00347	False	0	0.54398	0.45602
SplittinghERG_F_Dataset_00354	True	1	0.29968	0.70032
SplittinghERG_F_Dataset_00363	False	0	0.8681	0.1319
SplittinghERG_F_Dataset_00364	False	0	0.8681	0.1319
SplittinghERG_F_Dataset_00365	False	1	0.37594	0.62406
SplittinghERG_F_Dataset_00366	False	1	0.37594	0.62406
SplittinghERG_F_Dataset_00368	True	0	0.50115	0.49885
SplittinghERG_F_Dataset_00369	True	0	0.50115	0.49885
SplittinghERG_F_Dataset_00370	True	0	0.63773	0.36227
SplittinghERG_F_Dataset_00371	False	0	0.63773	0.36227
SplittinghERG_F_Dataset_00372	False	0	0.63773	0.36227
SplittinghERG_F_Dataset_00375	True	1	0.41195	0.58805
SplittinghERG_F_Dataset_00376	False	1	0.41195	0.58805
SplittinghERG_F_Dataset_00377	True	1	0.37141	0.62859
SplittinghERG_F_Dataset_00378	False	0	0.71849	0.28151
SplittinghERG_F_Dataset_00383	True	1	0.44842	0.55158
SplittinghERG_F_Dataset_00384	True	1	0.4973	0.5027
SplittinghERG_F_Dataset_00389	True	1	0.41942	0.58058
SplittinghERG_F_Dataset_00390	False	1	0.41942	0.58058
SplittinghERG_F_Dataset_00393	True	1	0.23746	0.76254
SplittinghERG_F_Dataset_00394	True	1	0.23746	0.76254
SplittinghERG_F_Dataset_00397	False	0	0.5798	0.4202
SplittinghERG_F_Dataset_00398	True	0	0.5798	0.4202
SplittinghERG_F_Dataset_00399	False	0	0.5798	0.4202
SplittinghERG_F_Dataset_00400	False	0	0.57009	0.42991
SplittinghERG_F_Dataset_00401	False	1	0.45892	0.54108
SplittinghERG_F_Dataset_00402	False	1	0.45892	0.54108
SplittinghERG_F_Dataset_00403	True	1	0.45892	0.54108
SplittinghERG_F_Dataset_00404	True	0	0.52077	0.47923
SplittinghERG_F_Dataset_00408	True	1	0.32018	0.67982
SplittinghERG_F_Dataset_00409	True	1	0.32018	0.67982
SplittinghERG_F_Dataset_00410	True	0	0.53633	0.46367
SplittinghERG_F_Dataset_00411	False	0	0.53633	0.46367
SplittinghERG_F_Dataset_00412	True	0	0.53633	0.46367
SplittinghERG_F_Dataset_00430	True	1	0.18146	0.81854
SplittinghERG_F_Dataset_00431	True	0	0.77883	0.22117
SplittinghERG_F_Dataset_00432	True	1	0.14518	0.85482
SplittinghERG_F_Dataset_00433	False	1	0.37899	0.62101
SplittinghERG_F_Dataset_00434	True	1	0.34604	0.65396
SplittinghERG_F_Dataset_00439	True	1	0.31841	0.68159
SplittinghERG_F_Dataset_00440	True	1	0.24368	0.75632
SplittinghERG_F_Dataset_00441	True	1	0.24368	0.75632
SplittinghERG_F_Dataset_00442	True	1	0.24368	0.75632
SplittinghERG_F_Dataset_00448	False	0	0.76701	0.23299
SplittinghERG_F_Dataset_00449	False	0	0.76701	0.23299
SplittinghERG_F_Dataset_00450	False	0	0.76701	0.23299
SplittinghERG_F_Dataset_00468	True	1	0.29914	0.70086
SplittinghERG_F_Dataset_00469	False	0	0.6806	0.3194
SplittinghERG_F_Dataset_00470	True	0	0.6806	0.3194
SplittinghERG_F_Dataset_00479	True	0	0.53226	0.46774
SplittinghERG_F_Dataset_00483	True	1	0.49975	0.50025
SplittinghERG_F_Dataset_00491	False	0	0.81439	0.18561
SplittinghERG_F_Dataset_00492	True	1	0.39288	0.60712
SplittinghERG_F_Dataset_00493	False	1	0.46753	0.53247
SplittinghERG_F_Dataset_00499	True	1	0.2761	0.7239
SplittinghERG_F_Dataset_00500	True	1	0.2761	0.7239
SplittinghERG_F_Dataset_00501	True	1	0.2761	0.7239
SplittinghERG_F_Dataset_00505	False	0	0.67745	0.32255
SplittinghERG_F_Dataset_00508	False	0	0.90225	0.09775
SplittinghERG_F_Dataset_00509	False	0	0.90225	0.09775
SplittinghERG_F_Dataset_00510	False	0	0.72883	0.27117
SplittinghERG_F_Dataset_00511	True	0	0.5614	0.4386
SplittinghERG_F_Dataset_00512	True	0	0.5614	0.4386
SplittinghERG_F_Dataset_00513	True	0	0.5614	0.4386
SplittinghERG_F_Dataset_00514	True	1	0.26473	0.73527
SplittinghERG_F_Dataset_00515	False	1	0.24831	0.75169
SplittinghERG_F_Dataset_00516	True	1	0.24831	0.75169
SplittinghERG_F_Dataset_00517	False	1	0.24831	0.75169
SplittinghERG_F_Dataset_00532	True	1	0.15152	0.84848
SplittinghERG_F_Dataset_00533	True	1	0.15152	0.84848
SplittinghERG_F_Dataset_00534	False	0	0.58741	0.41259
SplittinghERG_F_Dataset_00550	False	0	0.54995	0.45005
SplittinghERG_F_Dataset_00553	False	0	0.50984	0.49016
SplittinghERG_F_Dataset_00554	True	0	0.50984	0.49016
SplittinghERG_F_Dataset_00555	False	0	0.83924	0.16076
SplittinghERG_F_Dataset_00556	True	1	0.49598	0.50402
SplittinghERG_F_Dataset_00557	False	1	0.49598	0.50402
SplittinghERG_F_Dataset_00559	True	1	0.4535	0.5465
SplittinghERG_F_Dataset_00560	True	0	0.60559	0.39441
SplittinghERG_F_Dataset_00561	True	0	0.60559	0.39441
SplittinghERG_F_Dataset_00570	False	1	0.44513	0.55487
SplittinghERG_F_Dataset_00571	False	1	0.44513	0.55487
SplittinghERG_F_Dataset_00574	False	0	0.80875	0.19125
SplittinghERG_F_Dataset_00576	True	1	0.18302	0.81698
SplittinghERG_F_Dataset_00577	True	0	0.58063	0.41937
SplittinghERG_F_Dataset_00578	True	0	0.58063	0.41937
SplittinghERG_F_Dataset_00583	True	0	0.61771	0.38229
SplittinghERG_F_Dataset_00584	True	0	0.61771	0.38229
SplittinghERG_F_Dataset_00585	True	0	0.61771	0.38229
SplittinghERG_F_Dataset_00588	False	0	0.54507	0.45493
SplittinghERG_F_Dataset_00589	True	0	0.7478	0.2522
