QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1	Fold
SplittinghERG_F_Dataset_11190	False	1	0.26042	0.73958	0.0
SplittinghERG_F_Dataset_00076	True	1	0.49375	0.50625	0.0
SplittinghERG_F_Dataset_04504	True	0	0.58083	0.41917	0.0
SplittinghERG_F_Dataset_07598	True	0	0.65017	0.34983	0.0
SplittinghERG_F_Dataset_06037	True	1	0.42951	0.57049	0.0
SplittinghERG_F_Dataset_07469	True	1	0.3941	0.6059	0.0
SplittinghERG_F_Dataset_02260	True	1	0.24236	0.75764	0.0
SplittinghERG_F_Dataset_01775	False	1	0.21432	0.78568	0.0
SplittinghERG_F_Dataset_07847	True	1	0.41293	0.58707	0.0
SplittinghERG_F_Dataset_00093	False	1	0.39583	0.60417	0.0
SplittinghERG_F_Dataset_02407	True	0	0.57388	0.42612	0.0
SplittinghERG_F_Dataset_07820	False	1	0.27956	0.72044	0.0
SplittinghERG_F_Dataset_08249	True	1	0.23673	0.76327	0.0
SplittinghERG_F_Dataset_00714	True	1	0.45574	0.54426	0.0
SplittinghERG_F_Dataset_01076	False	1	0.39504	0.60496	0.0
SplittinghERG_F_Dataset_06069	False	1	0.30938	0.69062	0.0
SplittinghERG_F_Dataset_03115	False	0	0.50064	0.49936	0.0
SplittinghERG_F_Dataset_08027	True	0	0.59253	0.40747	0.0
SplittinghERG_F_Dataset_02015	False	1	0.46319	0.53681	0.0
SplittinghERG_F_Dataset_01885	True	1	0.37448	0.62552	0.0
SplittinghERG_F_Dataset_06134	True	0	0.66992	0.33008	0.0
SplittinghERG_F_Dataset_07942	False	1	0.48941	0.51059	0.0
SplittinghERG_F_Dataset_08239	False	1	0.39759	0.60241	0.0
SplittinghERG_F_Dataset_01488	True	1	0.47135	0.52865	0.0
SplittinghERG_F_Dataset_04867	True	1	0.49324	0.50676	0.0
SplittinghERG_F_Dataset_05667	True	1	0.41252	0.58748	0.0
SplittinghERG_F_Dataset_07496	True	0	0.50434	0.49566	0.0
SplittinghERG_F_Dataset_10274	False	0	0.68797	0.31203	0.0
