QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1
SplittinghERG_F_Dataset_09894	True	1	0.44405	0.55595
SplittinghERG_F_Dataset_04880	False	1	0.46186	0.53814
SplittinghERG_F_Dataset_06521	True	1	0.03125	0.96875
SplittinghERG_F_Dataset_07013	True	1	0.28963	0.71037
SplittinghERG_F_Dataset_04092	False	1	0.2908	0.7092
SplittinghERG_F_Dataset_01383	False	0	0.53755	0.46245
SplittinghERG_F_Dataset_09677	False	1	0.15972	0.84028
SplittinghERG_F_Dataset_06889	False	0	0.875	0.125
SplittinghERG_F_Dataset_08844	False	1	0.2849	0.7151
SplittinghERG_F_Dataset_04043	True	0	0.9066	0.0934
SplittinghERG_F_Dataset_04515	False	1	0.49601	0.50399
SplittinghERG_F_Dataset_04049	False	1	0.25856	0.74144
SplittinghERG_F_Dataset_10739	False	1	0.18194	0.81806
SplittinghERG_F_Dataset_00245	True	1	0.22135	0.77865
SplittinghERG_F_Dataset_09365	True	0	0.78125	0.21875
SplittinghERG_F_Dataset_01393	False	0	0.51111	0.48889
SplittinghERG_F_Dataset_08718	False	0	0.51183	0.48817
SplittinghERG_F_Dataset_00101	True	1	0.31319	0.68681
SplittinghERG_F_Dataset_07949	False	1	0.47101	0.52899
SplittinghERG_F_Dataset_06095	False	0	0.97292	0.02708
SplittinghERG_F_Dataset_02455	True	0	0.8342	0.1658
SplittinghERG_F_Dataset_02218	False	1	0.20139	0.79861
SplittinghERG_F_Dataset_10296	True	1	0.21228	0.78772
SplittinghERG_F_Dataset_03742	True	1	0.03125	0.96875
SplittinghERG_F_Dataset_08364	True	1	0.45258	0.54742
SplittinghERG_F_Dataset_00468	True	1	0.1059	0.8941
SplittinghERG_F_Dataset_06200	False	0	0.5003	0.4997
SplittinghERG_F_Dataset_03837	False	1	0.22274	0.77726
SplittinghERG_F_Dataset_11432	False	0	0.98958	0.01042
SplittinghERG_F_Dataset_00510	False	0	0.73834	0.26166
SplittinghERG_F_Dataset_08704	True	1	0.0625	0.9375
SplittinghERG_F_Dataset_09881	True	1	0.24787	0.75213
SplittinghERG_F_Dataset_05386	False	1	0.18269	0.81731
SplittinghERG_F_Dataset_06890	False	0	0.875	0.125
SplittinghERG_F_Dataset_09101	False	1	0.41166	0.58834
SplittinghERG_F_Dataset_01053	True	1	0.36215	0.63785
SplittinghERG_F_Dataset_02615	False	1	0.31806	0.68194
SplittinghERG_F_Dataset_08454	False	0	1.0	0.0
SplittinghERG_F_Dataset_08309	True	0	0.53125	0.46875
SplittinghERG_F_Dataset_01142	False	1	0.49249	0.50751
SplittinghERG_F_Dataset_05211	True	1	0.02344	0.97656
SplittinghERG_F_Dataset_01512	True	1	0.2974	0.7026
SplittinghERG_F_Dataset_11603	True	0	0.77517	0.22483
SplittinghERG_F_Dataset_07972	True	0	0.79219	0.20781
SplittinghERG_F_Dataset_09536	False	1	0.0901	0.9099
SplittinghERG_F_Dataset_02174	False	0	0.68142	0.31858
SplittinghERG_F_Dataset_10580	True	1	0.47691	0.52309
SplittinghERG_F_Dataset_00856	True	1	0.34115	0.65885
SplittinghERG_F_Dataset_10644	False	1	0.44784	0.55216
