QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1	Fold
SplittinghERGDataset_05338	True	1	0.26895	0.73105	0.0
SplittinghERGDataset_02648	True	1	0.24525	0.75475	0.0
SplittinghERGDataset_07588	True	1	0.17882	0.82118	0.0
SplittinghERGDataset_06313	True	1	0.02222	0.97778	0.0
SplittinghERGDataset_06251	False	1	0.01076	0.98924	0.0
SplittinghERGDataset_06795	True	1	0.47014	0.52986	0.0
SplittinghERGDataset_09646	False	1	0.37436	0.62564	0.0
SplittinghERGDataset_02550	True	1	0.20833	0.79167	0.0
SplittinghERGDataset_03186	False	1	0.30382	0.69618	0.0
SplittinghERGDataset_12240	True	1	0.40751	0.59249	0.0
SplittinghERGDataset_03516	True	1	0.01771	0.98229	0.0
SplittinghERGDataset_10720	True	1	0.0	1.0	0.0
SplittinghERGDataset_07846	False	1	0.23316	0.76684	0.0
SplittinghERGDataset_09754	True	1	0.01736	0.98264	0.0
SplittinghERGDataset_02524	False	0	0.51979	0.48021	0.0
SplittinghERGDataset_11322	False	1	0.39395	0.60605	0.0
SplittinghERGDataset_02953	False	1	0.25035	0.74965	0.0
SplittinghERGDataset_09301	False	0	0.95382	0.04618	0.0
SplittinghERGDataset_10358	True	1	0.02431	0.97569	0.0
SplittinghERGDataset_00213	False	1	0.1099	0.8901	0.0
SplittinghERGDataset_04744	True	0	0.99392	0.00608	0.0
SplittinghERGDataset_08693	True	0	0.92969	0.07031	0.0
SplittinghERGDataset_01449	True	1	0.20781	0.79219	0.0
SplittinghERGDataset_12082	True	1	0.15625	0.84375	0.0
SplittinghERGDataset_03738	False	1	0.05035	0.94965	0.0
SplittinghERGDataset_00500	True	1	0.19236	0.80764	0.0
SplittinghERGDataset_02618	True	0	0.69097	0.30903	0.0
SplittinghERGDataset_05080	False	0	0.97917	0.02083	0.0
SplittinghERGDataset_07475	False	1	0.42309	0.57691	0.0
SplittinghERGDataset_04914	False	0	0.61709	0.38291	0.0
SplittinghERGDataset_09419	False	1	0.28542	0.71458	0.0
SplittinghERGDataset_08479	False	0	0.70372	0.29628	0.0
SplittinghERGDataset_09044	False	0	0.97222	0.02778	0.0
SplittinghERGDataset_08894	True	0	0.7937	0.2063	0.0
SplittinghERGDataset_08347	True	0	0.77448	0.22552	0.0
SplittinghERGDataset_09345	True	1	0.47708	0.52292	0.0
SplittinghERGDataset_07863	True	1	0.04149	0.95851	0.0
SplittinghERGDataset_02489	False	0	0.53872	0.46128	0.0
SplittinghERGDataset_07781	False	0	0.84722	0.15278	0.0
SplittinghERGDataset_10703	False	1	0.48594	0.51406	0.0
SplittinghERGDataset_04123	False	0	0.98958	0.01042	0.0
SplittinghERGDataset_03792	False	1	0.11094	0.88906	0.0
SplittinghERGDataset_01192	False	1	0.14306	0.85694	0.0
SplittinghERGDataset_07605	True	1	0.4599	0.5401	0.0
SplittinghERGDataset_00409	True	0	0.70139	0.29861	0.0
SplittinghERGDataset_03419	True	1	0.35357	0.64643	0.0
SplittinghERGDataset_07320	True	0	0.51484	0.48516	0.0
SplittinghERGDataset_00105	True	1	0.06076	0.93924	0.0
SplittinghERGDataset_08861	False	0	0.98958	0.01042	0.0
SplittinghERGDataset_09501	True	1	0.10556	0.89444	0.0
SplittinghERGDataset_03157	False	0	0.96875	0.03125	0.0
SplittinghERGDataset_09369	True	1	0.03993	0.96007	0.0
SplittinghERGDataset_06090	False	0	0.89931	0.10069	0.0
SplittinghERGDataset_09574	False	0	0.51667	0.48333	0.0
