QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1
SplittinghERGDataset_01277	False	0	0.5	0.5
SplittinghERGDataset_06712	True	0	1.0	0.0
SplittinghERGDataset_04807	True	0	1.0	0.0
SplittinghERGDataset_08048	False	1	0.0	1.0
SplittinghERGDataset_03706	True	1	0.0	1.0
SplittinghERGDataset_01743	False	1	0.0	1.0
SplittinghERGDataset_10270	True	0	1.0	0.0
SplittinghERGDataset_02633	True	0	1.0	0.0
SplittinghERGDataset_09507	True	0	1.0	0.0
SplittinghERGDataset_11459	True	1	0.12879	0.87121
SplittinghERGDataset_11559	True	1	0.0	1.0
SplittinghERGDataset_08046	True	0	1.0	0.0
SplittinghERGDataset_08531	True	1	0.47159	0.52841
SplittinghERGDataset_01114	True	1	0.0	1.0
SplittinghERGDataset_05937	True	1	0.35606	0.64394
SplittinghERGDataset_03684	True	1	0.0	1.0
SplittinghERGDataset_00396	False	1	0.20833	0.79167
SplittinghERGDataset_01730	True	1	0.0	1.0
SplittinghERGDataset_03544	False	1	0.0	1.0
SplittinghERGDataset_01950	False	0	0.5	0.5
SplittinghERGDataset_03467	False	1	0.0	1.0
SplittinghERGDataset_10865	True	0	1.0	0.0
SplittinghERGDataset_10925	True	1	0.03409	0.96591
SplittinghERGDataset_09656	False	0	0.5	0.5
SplittinghERGDataset_08960	True	0	1.0	0.0
SplittinghERGDataset_08794	True	1	0.01136	0.98864
SplittinghERGDataset_08797	False	0	0.5	0.5
SplittinghERGDataset_04279	False	0	1.0	0.0
SplittinghERGDataset_05920	False	1	0.0	1.0
SplittinghERGDataset_06223	False	1	0.0	1.0
SplittinghERGDataset_01358	True	0	1.0	0.0
SplittinghERGDataset_09520	True	1	0.22348	0.77652
SplittinghERGDataset_03909	False	0	0.73485	0.26515
SplittinghERGDataset_04513	True	1	0.0	1.0
SplittinghERGDataset_06209	False	1	0.0	1.0
SplittinghERGDataset_07949	True	0	0.5	0.5
SplittinghERGDataset_03547	True	1	0.14773	0.85227
SplittinghERGDataset_02442	True	1	0.0	1.0
SplittinghERGDataset_03914	True	1	0.0	1.0
SplittinghERGDataset_10539	True	0	1.0	0.0
SplittinghERGDataset_07092	False	0	1.0	0.0
SplittinghERGDataset_04783	True	0	1.0	0.0
SplittinghERGDataset_01022	False	1	0.0	1.0
SplittinghERGDataset_02319	False	1	0.33333	0.66667
SplittinghERGDataset_07868	True	1	0.0	1.0
SplittinghERGDataset_10108	True	1	0.01705	0.98295
SplittinghERGDataset_09195	True	0	1.0	0.0
SplittinghERGDataset_03193	True	1	0.0	1.0
SplittinghERGDataset_04392	True	1	0.0	1.0
SplittinghERGDataset_11834	True	1	0.0	1.0
SplittinghERGDataset_01010	True	1	0.40152	0.59848
SplittinghERGDataset_07920	False	0	0.5	0.5
SplittinghERGDataset_11035	True	1	0.0	1.0
SplittinghERGDataset_02254	True	0	1.0	0.0
SplittinghERGDataset_12005	True	0	1.0	0.0
SplittinghERGDataset_10428	False	0	1.0	0.0
SplittinghERGDataset_02250	False	0	0.66667	0.33333
SplittinghERGDataset_00385	False	0	1.0	0.0
SplittinghERGDataset_05380	True	1	0.1553	0.8447
SplittinghERGDataset_04687	False	0	0.5	0.5
SplittinghERGDataset_12075	False	0	1.0	0.0
SplittinghERGDataset_04083	True	1	0.4053	0.5947
SplittinghERGDataset_12149	False	0	1.0	0.0
SplittinghERGDataset_01650	False	1	0.0	1.0
SplittinghERGDataset_04532	False	0	0.5	0.5
SplittinghERGDataset_00434	False	0	0.5	0.5
SplittinghERGDataset_05467	False	1	0.0	1.0
SplittinghERGDataset_10092	True	0	1.0	0.0
SplittinghERGDataset_10101	False	1	0.0	1.0
SplittinghERGDataset_10261	False	0	0.5	0.5
SplittinghERGDataset_07181	True	1	0.17045	0.82955
SplittinghERGDataset_07118	False	1	0.0	1.0
SplittinghERGDataset_06114	True	1	0.0	1.0
SplittinghERGDataset_10021	True	1	0.0	1.0
SplittinghERGDataset_02991	True	1	0.0	1.0
SplittinghERGDataset_11357	True	1	0.4072	0.5928
SplittinghERGDataset_07588	True	1	0.1572	0.8428
SplittinghERGDataset_02769	True	1	0.0	1.0
SplittinghERGDataset_00937	False	1	0.0	1.0
SplittinghERGDataset_10548	True	1	0.05682	0.94318
SplittinghERGDataset_07840	False	1	0.0	1.0
SplittinghERGDataset_01413	True	1	0.4697	0.5303
SplittinghERGDataset_08121	False	1	0.0	1.0
SplittinghERGDataset_08371	True	0	0.72727	0.27273
SplittinghERGDataset_10760	False	0	1.0	0.0
SplittinghERGDataset_05547	False	0	0.72727	0.27273
SplittinghERGDataset_06479	True	1	0.40341	0.59659
SplittinghERGDataset_08066	True	0	1.0	0.0
SplittinghERGDataset_05376	False	1	0.46591	0.53409
SplittinghERGDataset_11024	False	1	0.0	1.0
SplittinghERGDataset_09174	False	1	0.0	1.0
SplittinghERGDataset_05689	True	1	0.0	1.0
SplittinghERGDataset_02963	False	1	0.0	1.0
SplittinghERGDataset_07383	False	0	0.57197	0.42803
SplittinghERGDataset_10668	True	1	0.3447	0.6553
SplittinghERGDataset_10394	False	1	0.45076	0.54924
SplittinghERGDataset_07228	True	0	0.5	0.5
SplittinghERGDataset_08391	False	1	0.0	1.0
SplittinghERGDataset_06820	True	1	0.0	1.0
SplittinghERGDataset_09124	True	1	0.0	1.0
SplittinghERGDataset_04502	False	1	0.0	1.0
SplittinghERGDataset_03231	True	0	1.0	0.0
SplittinghERGDataset_10446	True	1	0.0	1.0
SplittinghERGDataset_01275	False	1	0.0	1.0
SplittinghERGDataset_01396	False	0	1.0	0.0
SplittinghERGDataset_09636	False	0	1.0	0.0
SplittinghERGDataset_06723	True	1	0.0	1.0
SplittinghERGDataset_07729	True	1	0.0	1.0
SplittinghERGDataset_01139	False	0	0.5	0.5
SplittinghERGDataset_01602	False	0	0.59848	0.40152
SplittinghERGDataset_07530	False	0	1.0	0.0
SplittinghERGDataset_04618	False	0	1.0	0.0
SplittinghERGDataset_07959	True	0	1.0	0.0
SplittinghERGDataset_01434	True	1	0.43939	0.56061
SplittinghERGDataset_02002	True	1	0.0	1.0
SplittinghERGDataset_04449	True	1	0.06439	0.93561
SplittinghERGDataset_01175	False	1	0.0	1.0
SplittinghERGDataset_04695	True	1	0.0	1.0
SplittinghERGDataset_08821	True	1	0.0	1.0
SplittinghERGDataset_02527	False	0	0.5	0.5
SplittinghERGDataset_07255	False	1	0.29924	0.70076
SplittinghERGDataset_07332	True	1	0.0	1.0
SplittinghERGDataset_04123	False	0	1.0	0.0
SplittinghERGDataset_03883	False	1	0.39015	0.60985
SplittinghERGDataset_05042	True	1	0.0	1.0
SplittinghERGDataset_06580	True	0	1.0	0.0
SplittinghERGDataset_04540	False	0	0.66288	0.33712
SplittinghERGDataset_08362	True	1	0.03409	0.96591
SplittinghERGDataset_11750	False	0	1.0	0.0
SplittinghERGDataset_01513	True	1	0.0	1.0
SplittinghERGDataset_08514	True	1	0.17614	0.82386
SplittinghERGDataset_05707	True	1	0.16667	0.83333
SplittinghERGDataset_09066	True	1	0.0	1.0
SplittinghERGDataset_02388	False	1	0.0	1.0
SplittinghERGDataset_01470	False	0	1.0	0.0
SplittinghERGDataset_03780	False	1	0.32955	0.67045
SplittinghERGDataset_08273	True	1	0.03409	0.96591
SplittinghERGDataset_02688	True	1	0.0	1.0
SplittinghERGDataset_09748	True	1	0.0	1.0
SplittinghERGDataset_02781	False	1	0.33333	0.66667
SplittinghERGDataset_01793	True	1	0.0	1.0
SplittinghERGDataset_06835	False	0	0.5	0.5
SplittinghERGDataset_03658	True	1	0.0	1.0
SplittinghERGDataset_03834	True	1	0.0	1.0
SplittinghERGDataset_07487	False	1	0.0	1.0
SplittinghERGDataset_02145	False	0	1.0	0.0
SplittinghERGDataset_10861	True	1	0.0	1.0
SplittinghERGDataset_01320	True	0	0.58523	0.41477
SplittinghERGDataset_11133	False	1	0.23864	0.76136
SplittinghERGDataset_03928	False	1	0.0	1.0
SplittinghERGDataset_04024	False	1	0.32955	0.67045
SplittinghERGDataset_01941	True	0	1.0	0.0
SplittinghERGDataset_03833	True	1	0.0	1.0
SplittinghERGDataset_10811	True	0	0.5	0.5
SplittinghERGDataset_05372	False	0	1.0	0.0
SplittinghERGDataset_10403	True	1	0.0	1.0
SplittinghERGDataset_10708	False	0	1.0	0.0
SplittinghERGDataset_07077	True	0	1.0	0.0
SplittinghERGDataset_01562	True	0	0.66667	0.33333
SplittinghERGDataset_03688	True	0	0.5	0.5
SplittinghERGDataset_08725	False	0	1.0	0.0
SplittinghERGDataset_00839	False	0	0.5	0.5
SplittinghERGDataset_11876	True	1	0.0	1.0
SplittinghERGDataset_08689	True	0	0.82955	0.17045
SplittinghERGDataset_00927	True	0	1.0	0.0
SplittinghERGDataset_08777	True	0	0.52652	0.47348
SplittinghERGDataset_06366	True	1	0.33333	0.66667
